,Target,Dataset_Size,Actives,Inactives
0,11B1_sub,1192,3,1189
1,11B2_sub,1192,3,1189
2,17A_sub,1192,3,1189
3,19A_sub,1192,8,1184
4,1A1_sub,1192,49,1143
5,1A2_sub,1192,155,1037
6,1B1_sub,1192,17,1175
7,21A_sub,1192,2,1190
8,24A_sub,1192,2,1190
9,26B_sub,1192,1,1191
10,27A_sub,1192,2,1190
11,2A13_sub,1192,3,1189
12,2A6_sub,1192,47,1145
13,2B6_sub,1192,70,1122
14,2C18_sub,1192,22,1170
15,2C19_sub,1192,137,1055
16,2C8_sub,1192,106,1086
17,2C9_sub,1192,199,993
18,2D6_sub,1192,281,911
19,2E1_sub,1192,73,1119
20,2F1_sub,1192,2,1190
21,2J2_sub,1192,3,1189
22,2S1_sub,1192,1,1191
23,3A43_sub,1192,5,1187
24,3A4_sub,1192,500,692
25,3A5_sub,1192,124,1068
26,3A7_sub,1192,94,1098
27,46A_sub,1192,5,1187
28,4A11_sub,1192,2,1190
29,4B1_sub,1192,3,1189
30,4F11_sub,1192,1,1191
31,4F2_sub,1192,4,1188
32,4F3_sub,1192,1,1191
33,ATP_binding_cassette_sub_family_A_member_3_sub,1192,1,1191
34,ATP_binding_cassette_sub_family_G_member_2_sub,1192,36,1156
35,ATP_binding_cassette_transporter_sub_family_C_member_11_sub,1192,2,1190
36,Aldosterone_synthase_ALDOS_Aldosterone_synthesizing_enzyme_Steroid_18_hydroxylase_sub,1192,3,1189
37,Arachidonic_acid_epoxygenase_sub,1192,3,1189
38,Aromatase_Estrogen_synthetase_sub,1192,8,1184
39,Bile_salt_export_pump_sub,1192,3,1189
40,CP2AD_sub,1192,3,1189
41,CP2CI_sub,1192,22,1170
42,CP2F1_sub,1192,2,1190
43,CP343_sub,1192,5,1187
44,CP4FB_sub,1192,1,1191
45,Canalicular_multispecific_organic_anion_transporter_1_sub,1192,39,1153
46,Canalicular_multispecific_organic_anion_transporter_2_sub,1192,3,1189
47,Cholesterol_24_hydroxylase_sub,1192,5,1187
48,Choline_transporter_like_protein_2_sub,1192,1,1191
49,Chromaffin_granule_amine_transporter_sub,1192,2,1190
50,Copper_transporting_ATPase_1_sub,1192,1,1191
51,Copper_transporting_ATPase_2_sub,1192,1,1191
52,Coumarin_7_hydroxylase_sub,1192,47,1145
53,Electrogenic_sodium_bicarbonate_cotransporter_1_sub,1192,1,1191
54,Electroneutral_sodium_bicarbonate_exchanger_1_sub,1192,1,1191
55,Equilibrative_nucleoside_transporter_1_sub,1192,1,1191
56,GST_sub,1192,20,1172
57,HLp2_sub,1192,124,1068
58,High_affinity_copper_uptake_protein_1_sub,1192,3,1189
59,MET_sub,1192,16,1176
60,Methyltransferase_sub,1192,16,1176
61,Monocarboxylate_transporter_10_sub,1192,1,1191
62,Monocarboxylate_transporter_1_sub,1192,4,1188
63,Monocarboxylate_transporter_2_sub,1192,1,1191
64,Monocarboxylate_transporter_4_sub,1192,1,1191
65,Multidrug_and_toxin_extrusion_protein_1_sub,1192,4,1188
66,Multidrug_resistance_associated_protein_1_sub,1192,19,1173
67,Multidrug_resistance_associated_protein_4_sub,1192,11,1181
68,Multidrug_resistance_associated_protein_5_sub,1192,4,1188
69,Multidrug_resistance_protein_1_sub,1192,46,1146
70,Multidrug_resistance_protein_3_sub,1192,1,1191
71,NAT_sub,1192,19,1173
72,N_acetyltransferase_sub,1192,19,1173
73,Neutral_amino_acid_transporter_B0_sub,1192,8,1184
74,P450_HFLA_sub,1192,94,1098
75,P450_HP_sub,1192,3,1189
76,Probable_low_affinity_copper_uptake_protein_2_sub,1192,1,1191
77,Proton_coupled_amino_acid_transporter_1_sub,1192,3,1189
78,Proton_coupled_folate_transporter_sub,1192,3,1189
79,SUL_sub,1192,25,1167
80,S_mephenytoin_4_hydroxylase_sub,1192,106,1086
81,Sodium_coupled_neutral_amino_acid_transporter_3_sub,1192,7,1185
82,Sodium_dependent_noradrenaline_transporter_sub,1192,4,1188
83,Sodium_dependent_serotonin_transporter_sub,1192,1,1191
84,Sodiumbile_acid_cotransporter_sub,1192,2,1190
85,Solute_carrier_family_12_member_1_sub,1192,3,1189
86,Solute_carrier_family_12_member_2_sub,1192,2,1190
87,Solute_carrier_family_12_member_4_sub,1192,1,1191
88,Solute_carrier_family_12_member_5_sub,1192,1,1191
89,Solute_carrier_family_15_member_1_sub,1192,16,1176
