,drug_name,drug_type,Smiles
0,Acetylcholin,Inducer,CC(=O)OCC[N+](C)(C)C
1,Acetylsalicylic Acid,Inhibitor,CC(=O)OC1=C(C=CC=C1)C(O)=O
2,Ademetionine,Substrate,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=NC3=C(N)N=CN=C23
3,Angiotensinamide,Inducer,CC(C)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@@H]3C(=O)N[C@@H](CC4=CC=CC=C4)C(O)=O
4,Argatroban,Inducer,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C2=C3NC[C@@H](C)CC3=CC=C2
5,Ascorbic Acid (vit C),Inhibitor,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
6,Ascorbic Acid (vit C),Substrate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
7,Azacitidine,Inhibitor,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
8,Azathioprine,Substrate,CN1C=NC(=C1SC2=C3NC=NC3=NC=N2)[N+]([O-])=O
9,Bendroflumethiazide,Inhibitor,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
10,Captopril,Substrate,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O
11,Chlorhexidine,Inhibitor,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
12,Chloroquine,Inhibitor,CCN(CC)CCC[C@@H](C)NC1=CC=NC2=C1C=CC(Cl)=C2
13,Chlorphenamine,Inducer,CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C2=CC=CC=N2
14,Cocaine,Inducer,COC(=O)[C@H]1[C@H](C[C@H]2CC[C@@H]1N2C)OC(=O)C3=CC=CC=C3
15,Deanol,Substrate,CN(C)CCO
16,Decitabine,Inhibitor,NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1
17,Dicycloverine,Inhibitor,CCN(CC)CCOC(=O)[C@@]1(CCCCC1)[C@H]2CCCCC2
18,Diosmin,Inhibitor,COC1=CC=C(C=C1O)C2=CC(=O)C3=C(O2)C=C(O[C@@H]4O[C@H](CO[C@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]5O)[C@H](O)[C@H](O)[C@H]4O)C=C3O
19,Entacapone,Inhibitor,CCN(CC)C(=O)C(=CC1=CC(=C(O)C(O)=C1)[N+]([O-])=O)C#N
20,Entacapone,Inducer,CCN(CC)C(=O)C(=CC1=CC(=C(O)C(O)=C1)[N+]([O-])=O)C#N
21,Epinephrine,Inducer,CNC[C@H](O)C1=CC(O)=C(O)C=C1
22,Epinephrine,Substrate,CNC[C@H](O)C1=CC(O)=C(O)C=C1
23,Estradiol,Inducer,C[C@@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O
24,Estradiol,Substrate,C[C@@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O
25,Folic Acid,Inhibitor,NC1=NC(=O)C2=C(N1)N=CC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2
