,drug_name,drug_type,Smiles
0,Acetylsalicylic Acid,2C8-Substrate,CC(=O)OC1=C(C=CC=C1)C(O)=O
1,Aminophenazone,2C8-Substrate,CN(C)C1=C(C)N(C)N(C2=CC=CC=C2)C1=O
2,Amiodarone,2C8-Substrate,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C3=CC=CC=C3O1
3,Amitriptyline,2C8-Inhibitor,CN(C)CCC=C1/C2=C(CCC3=C1C=CC=C3)C=CC=C2
4,Amitriptyline,2C8-Substrate,CN(C)CCC=C1/C2=C(CCC3=C1C=CC=C3)C=CC=C2
5,Amlodipine,2C8-Inhibitor,CCOC(=O)C1=C(COCCN)NC(C)=C([C@H]1C2=C(Cl)C=CC=C2)C(=O)OC
6,Amodiaquine,2C8-Substrate,CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
7,Amprenavir,2C8-Substrate,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)C3=CC=C(N)C=C3
8,Atorvastatin,2C8-Inhibitor,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C3=CC=CC=C3)=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C4=CC=C(F)C=C4
9,Bezafibrate,2C8-Inhibitor,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O
10,Bortezomib,2C8-Inhibitor,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=CN=CC=N2)B(O)O
11,Brompheniramine,2C8-Substrate,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C2=CC=CC=N2
12,Buprenorphine,2C8-Substrate,CO[C@@]12CC[C@]3(C[C@H]1[C@](C)(O)C(C)(C)C)[C@@H]4CC5=CC=C(O)C6=C5[C@]3(CCN4C[C@@H]7CC7)[C@@H]2O6
13,Bupropion,2C8-Substrate,C[C@H](NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
14,Caffeine,2C8-Substrate,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
15,Capsaicin,2C8-Substrate,COC1=C(O)C=CC(CNC(=O)CCCCC=CC(C)C)=C1
16,Carbamazepine,2C8-Substrate,NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3
17,Carbamazepine,2C8-Inducer,NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3
18,Carbinoxamine,2C8-Substrate,CN(C)CCO[C@@H](C1=CC=C(Cl)C=C1)C2=NC=CC=C2
