,drug_name,drug_type,Smiles
0,Budesonide,Multidrug_resistance_associated_protein_1-Inhibitor,CCC[C@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
1,Celecoxib,Multidrug_resistance_associated_protein_1-Inhibitor,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(N)(=O)=O)C(F)(F)F
2,Chlorcyclizine,Multidrug_resistance_associated_protein_1-Substrate,CN1CCN(CC1)[C@@H](C2=CC=CC=C2)C3=CC=C(Cl)C=C3
3,Chlorphenamine,Multidrug_resistance_associated_protein_1-Substrate,CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C2=CC=CC=N2
4,Cisplatin,Multidrug_resistance_associated_protein_1-Substrate,N[Pt](N)(Cl)Cl
5,Clotrimazole,Multidrug_resistance_associated_protein_1-Substrate,ClC1=C(C=CC=C1)C(N2C=CN=C2)(C3=CC=CC=C3)C4=CC=CC=C4
6,Clotrimazole,Multidrug_resistance_associated_protein_1-Inhibitor,ClC1=C(C=CC=C1)C(N2C=CN=C2)(C3=CC=CC=C3)C4=CC=CC=C4
7,Daunorubicin,Multidrug_resistance_associated_protein_1-Substrate,COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(C)=O)C(O)=C3C(=O)C2=CC=C1
8,Daunorubicin,Multidrug_resistance_associated_protein_1-Inducer,COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(C)=O)C(O)=C3C(=O)C2=CC=C1
9,Dipyridamole,Multidrug_resistance_associated_protein_1-Inhibitor,OCCN(CCO)C1=NC2=C(N=C(N=C2N3CCCCC3)N(CCO)CCO)C(=N1)N4CCCCC4
10,Disulfiram,Multidrug_resistance_associated_protein_1-Inhibitor,CCN(CC)C(=S)SSC(=S)N(CC)CC
11,Doxorubicin,Multidrug_resistance_associated_protein_1-Substrate,COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(=O)CO)C(O)=C3C2=O
12,Doxorubicin,Multidrug_resistance_associated_protein_1-Inducer,COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(=O)CO)C(O)=C3C2=O
13,Doxorubicin,Multidrug_resistance_associated_protein_1-Inhibitor,COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(=O)CO)C(O)=C3C2=O
14,Epirubicin,Multidrug_resistance_associated_protein_1-Inducer,COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)C(=O)CO)C(O)=C3C(=O)C2=CC=C1
15,Estradiol,Multidrug_resistance_associated_protein_1-Inducer,C[C@@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O
16,Estradiol,Multidrug_resistance_associated_protein_1-Substrate,C[C@@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O
17,Estrone,Multidrug_resistance_associated_protein_1-Substrate,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CCC2=O
18,Etacrynic Acid,Multidrug_resistance_associated_protein_1-Substrate,CCC(=C)C(=O)C1=CC=C(OCC(O)=O)C(Cl)=C1Cl
19,Ethanol,Multidrug_resistance_associated_protein_1-Inducer,CCO
20,Etoposide,Multidrug_resistance_associated_protein_1-Substrate,COC1=CC(=CC(OC)=C1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)C6=CC7=C(OCO7)C=C26
21,Fluorescein,Multidrug_resistance_associated_protein_1-Substrate,OC1=CC2=C(C=C1)[C@]3(OC(=O)C4=C3C=CC=C4)C5=C(O2)C=C(O)C=C5
22,G-strophanthin,Multidrug_resistance_associated_protein_1-Inducer,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@H]4CC[C@]3(O)C2)C6=CC(=O)OC6)[C@H](O)[C@H](O)[C@H]1O
23,Glibenclamide,Multidrug_resistance_associated_protein_1-Inducer,COC1=C(C=C(Cl)C=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]3CCCCC3
24,Glibenclamide,Multidrug_resistance_associated_protein_1-Inhibitor,COC1=C(C=C(Cl)C=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]3CCCCC3
25,Glutathione,Multidrug_resistance_associated_protein_1-Substrate,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
26,Indometacin,Multidrug_resistance_associated_protein_1-Inhibitor,COC1=CC2=C(C=C1)N(C(C)=C2CC(O)=O)C(=O)C3=CC=C(Cl)C=C3
