,drug_name,drug_type,Smiles
0,Acetylcholin,Solute_carrier_family_22_member_1-Substrate,CC(=O)OCC[N+](C)(C)C
1,Amiloride,Solute_carrier_family_22_member_1-Inhibitor,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
2,Carvedilol,Solute_carrier_family_22_member_1-Inhibitor,COC1=C(OCCNC[C@@H](O)COC2=CC=CC3=C2C4=CC=CC=C4N3)C=CC=C1
3,Cimetidine,Solute_carrier_family_22_member_1-Inhibitor,CNC(NCCSCC1=C(C)NC=N1)=N/C#N
4,Cisplatin,Solute_carrier_family_22_member_1-Substrate,N[Pt](N)(Cl)Cl
5,Dexamethasone,Solute_carrier_family_22_member_1-Inducer,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
6,Dinoprostone,Solute_carrier_family_22_member_1-Substrate,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
7,Estradiol,Solute_carrier_family_22_member_1-Inhibitor,C[C@@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O
8,Imatinib,Solute_carrier_family_22_member_1-Substrate,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC(NC4=NC=CC(=N4)C5=CC=CN=C5)=C(C)C=C3
9,Insulin (human),Solute_carrier_family_22_member_1-Inducer,CC[C@H](C)[C@H](NC(=O)CN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]1CSSC[C@@H]2NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CC4=CC=CC=C4)C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC5=CN=CN5)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC6=CC=C(O)C=C6)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@H](CC7=CC=C(O)C=C7)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC8=CC=C(O)C=C8)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](CC(N)=O)C(O)=O)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CC9=CC=CC=C9)C(=O)N[C@@H](CC%10=CC=CC=C%10)C(=O)N[C@@H](CC%11=CC=C(O)C=C%11)C(=O)N[C@@H]([C@@H](C)O)C(=O)N%12CCC[C@H]%12C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(O)=O)NC1=O)[C@@H](C)O)[C@@H](C)CC
10,Lamivudine,Solute_carrier_family_22_member_1-Substrate,NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO)O2
11,Metformin,Solute_carrier_family_22_member_1-Substrate,CN(C)C(=N)NC(N)=N
12,Nicotine,Solute_carrier_family_22_member_1-Inhibitor,CN1CCC[C@H]1C2=CC=CN=C2
13,Phenformin,Solute_carrier_family_22_member_1-Inhibitor,NC(=N)NC(=N)NCCC1=CC=CC=C1
14,Pramipexole,Solute_carrier_family_22_member_1-Substrate,CCCN[C@@H]1CCC2=C(C1)SC(N)=N2
15,Prazosin,Solute_carrier_family_22_member_1-Inhibitor,COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4
16,Quinidine,Solute_carrier_family_22_member_1-Substrate,COC1=CC2=C(C=CN=C2C=C1)[C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C
17,Rifampicin,Solute_carrier_family_22_member_1-Inducer,CO[C@H]1C=CO[C@@]2(C)OC3=C(C2=O)C4=C(O)C(C=NN5CCN(C)CC5)=C(NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C4C(O)=C3C
18,Tubocurarine,Solute_carrier_family_22_member_1-Inhibitor,COC1=C(O)C2=C3[C@@H](CC4=CC(OC5=CC6=C(CCN(C)[C@H]6CC7=CC=C(O2)C=C7)C=C5OC)=C(O)C=C4)[N+](C)(C)CCC3=C1
