,drug_type,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,1A1_ind_49,4.0,37.0,33.0,0.0,1.0,43.0,10.0,16.0,5.0,5.0,39.0,34.0,0.0,0.0,2.0,58.0,23.0,6.0,0.0,4.0,3.0,10.0,0.0,0.0,0.0,12.0,43.0,16.0,1.0,12.0,5.0,0.0,0.0,1.0,50.0,0.0,68.0,0.0,0.0,0.0,7.0,41.0,0.0,0.0,28.0,0.0,1.0,8.0,4.0,0.0,0.0,13.0,8.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,15.0,15.0,0.0,0.0,8.0,5.0,1.0,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
1,1A1_inh_45,1.0,51.0,48.0,3.0,1.0,31.0,6.0,11.0,2.0,2.0,50.0,48.0,0.0,0.0,0.0,63.0,31.0,10.0,6.0,6.0,1.0,6.0,0.0,0.0,2.0,5.0,29.0,33.0,0.0,9.0,14.0,0.0,0.0,0.0,41.0,0.0,56.0,0.0,3.0,0.0,11.0,56.0,2.0,1.0,16.0,1.0,1.0,6.0,1.0,0.0,0.0,5.0,4.0,0.0,3.0,21.0,1.0,5.0,3.0,3.0,2.0,1.0,0.0,1.0,7.0,11.0,10.0,0.0,0.0,7.0,3.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0
2,1A1_sub_49,3.0,17.0,12.0,8.0,0.0,35.0,7.0,11.0,3.0,3.0,36.0,33.0,0.0,1.0,0.0,55.0,27.0,13.0,0.0,6.0,2.0,7.0,0.0,0.0,0.0,7.0,12.0,17.0,0.0,21.0,12.0,0.0,0.0,0.0,61.0,0.0,59.0,0.0,0.0,0.0,4.0,33.0,3.0,1.0,30.0,1.0,1.0,4.0,2.0,0.0,0.0,13.0,7.0,0.0,1.0,8.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,10.0,10.0,0.0,0.0,3.0,3.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0
3,1A2_ind_39,8.0,31.0,28.0,1.0,0.0,28.0,9.0,10.0,8.0,8.0,110.0,102.0,0.0,0.0,2.0,40.0,80.0,21.0,0.0,2.0,5.0,9.0,0.0,0.0,1.0,8.0,37.0,87.0,0.0,10.0,1.0,0.0,0.0,3.0,43.0,1.0,64.0,0.0,0.0,0.0,5.0,33.0,0.0,1.0,13.0,0.0,1.0,8.0,7.0,0.0,0.0,16.0,11.0,0.0,1.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,10.0,10.0,0.0,0.0,9.0,2.0,11.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0
4,1A2_inh_124,7.0,52.0,41.0,8.0,7.0,97.0,14.0,15.0,14.0,14.0,93.0,79.0,2.0,3.0,4.0,187.0,72.0,23.0,0.0,24.0,4.0,14.0,0.0,0.0,1.0,20.0,37.0,51.0,2.0,53.0,45.0,0.0,0.0,0.0,142.0,1.0,123.0,0.0,4.0,0.0,17.0,84.0,4.0,2.0,71.0,3.0,1.0,19.0,1.0,0.0,0.0,12.0,8.0,0.0,7.0,23.0,2.0,11.0,7.0,6.0,2.0,1.0,0.0,2.0,30.0,15.0,14.0,0.0,0.0,12.0,15.0,4.0,0.0,21.0,0.0,7.0,3.0,2.0,3.0,2.0,3.0,0.0,2.0,16.0,3.0
5,1A2_sub_314,10.0,45.0,38.0,25.0,2.0,213.0,42.0,59.0,12.0,12.0,151.0,139.0,4.0,3.0,13.0,356.0,160.0,46.0,7.0,39.0,16.0,42.0,0.0,2.0,2.0,76.0,85.0,85.0,6.0,111.0,107.0,0.0,0.0,0.0,409.0,3.0,366.0,0.0,0.0,0.0,20.0,219.0,5.0,5.0,164.0,5.0,2.0,29.0,1.0,0.0,0.0,41.0,31.0,0.0,8.0,95.0,1.0,6.0,10.0,7.0,5.0,5.0,3.0,1.0,79.0,52.0,52.0,1.0,1.0,23.0,21.0,10.0,0.0,36.0,3.0,17.0,4.0,2.0,4.0,2.0,4.0,0.0,10.0,56.0,11.0
6,2C19_ind_16,0.0,8.0,5.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,25.0,24.0,0.0,0.0,0.0,12.0,12.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,20.0,0.0,4.0,3.0,0.0,0.0,1.0,17.0,0.0,39.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0
7,2C19_inh_109,4.0,27.0,20.0,4.0,2.0,90.0,12.0,7.0,6.0,6.0,107.0,101.0,0.0,3.0,4.0,160.0,73.0,19.0,0.0,24.0,11.0,12.0,0.0,0.0,3.0,31.0,33.0,82.0,2.0,32.0,35.0,0.0,0.0,1.0,142.0,1.0,81.0,0.0,4.0,1.0,15.0,88.0,1.0,1.0,72.0,3.0,0.0,16.0,11.0,0.0,0.0,14.0,10.0,0.0,4.0,21.0,3.0,5.0,7.0,7.0,5.0,0.0,0.0,1.0,27.0,6.0,6.0,2.0,2.0,12.0,7.0,6.0,0.0,17.0,0.0,6.0,12.0,2.0,1.0,1.0,2.0,0.0,3.0,12.0,11.0
8,2C19_sub_278,11.0,54.0,42.0,6.0,0.0,158.0,28.0,37.0,11.0,11.0,172.0,161.0,2.0,4.0,17.0,325.0,139.0,25.0,2.0,40.0,26.0,28.0,0.0,4.0,1.0,74.0,85.0,116.0,4.0,89.0,69.0,1.0,0.0,4.0,335.0,8.0,281.0,0.0,1.0,0.0,19.0,190.0,4.0,4.0,157.0,2.0,1.0,17.0,19.0,0.0,0.0,31.0,22.0,1.0,4.0,85.0,3.0,6.0,10.0,7.0,5.0,5.0,1.0,0.0,60.0,32.0,32.0,1.0,1.0,27.0,14.0,5.0,0.0,27.0,1.0,22.0,11.0,2.0,5.0,2.0,2.0,0.0,8.0,40.0,16.0
9,2C8_ind_17,1.0,11.0,9.0,0.0,1.0,2.0,0.0,6.0,2.0,2.0,30.0,28.0,0.0,0.0,0.0,14.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,22.0,0.0,4.0,3.0,0.0,0.0,2.0,17.0,0.0,47.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,0.0,0.0,9.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0
