,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
0,2E1,ecfp6_rdkDes_avalon_hashap,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [7], 'verbose': [0], 'warm_start': [False]}",0.003,1041,884,157,0,144,25,0,0.892,10,130,2,15,0.488,0.897,0.985,0.939,0.692,0.833,0.400,0.541,0.692,0.485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2E1,ecfp6_rdkDes_avalon_hashap,DecisionTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': [None], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'presort': [False], 'random_state': [7], 'splitter': ['best']}",0.012,1041,884,157,0,144,25,0,0.866,13,123,9,12,0.475,0.911,0.932,0.921,0.726,0.591,0.520,0.553,0.726,4.624,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2E1,ecfp6_rdkDes_avalon_hashap,AdaBoostClassifier_default,"{'algorithm': ['SAMME.R'], 'base_estimator': [None], 'learning_rate': [1.0], 'n_estimators': [50], 'random_state': [7]}",0.064,1041,884,157,0,144,25,0,0.885,15,124,8,10,0.557,0.925,0.939,0.932,0.770,0.652,0.600,0.625,0.770,0.627,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2E1,ecfp6_rdkDes_avalon_hashap,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [7], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",0.132,1041,884,157,0,144,25,0,0.873,13,124,8,12,0.491,0.912,0.939,0.925,0.730,0.619,0.520,0.565,0.730,0.450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2E1,ecfp6_rdkDes_avalon_hashap,GradientBoostingClassifier_default,"{'criterion': ['friedman_mse'], 'init': [None], 'learning_rate': [0.1], 'loss': ['deviance'], 'max_depth': [3], 'max_features': [None], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': [100], 'n_iter_no_change': [None], 'presort': ['auto'], 'random_state': [7], 'subsample': [1.0], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.213,1041,884,157,0,144,25,0,0.885,12,127,5,13,0.508,0.907,0.962,0.934,0.721,0.706,0.480,0.571,0.721,0.267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2E1,ecfp6_rdkDes_avalon_hashap,LinearDiscriminantAnalysis_default,"{'n_components': [None], 'priors': [None], 'shrinkage': [None], 'solver': ['svd'], 'store_covariance': [False], 'tol': [0.0001]}",0.026,1041,884,157,0,144,25,0,0.815,16,112,20,9,0.415,0.926,0.848,0.885,0.744,0.444,0.640,0.525,0.744,4.296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2E1,ecfp6_rdkDes_avalon_hashap,LogisticRegression_default,"{'C': [1.0], 'class_weight': [None], 'dual': [False], 'fit_intercept': [True], 'intercept_scaling': [1], 'l1_ratio': [None], 'max_iter': [100], 'multi_class': ['warn'], 'n_jobs': [None], 'penalty': ['l2'], 'random_state': [7], 'solver': ['warn'], 'tol': [0.0001], 'verbose': [0], 'warm_start': [False]}",0.004,1041,884,157,0,144,25,0,0.892,16,124,8,9,0.589,0.932,0.939,0.936,0.790,0.667,0.640,0.653,0.790,0.383,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2E1,ecfp6_rdkDes_avalon_hashap,KNeighborsClassifier_default,"{'algorithm': ['auto'], 'leaf_size': [30], 'metric': ['minkowski'], 'metric_params': [None], 'n_jobs': [None], 'n_neighbors': [5], 'p': [2], 'weights': ['uniform']}",0.022,1041,884,157,0,144,25,0,0.815,16,112,20,9,0.415,0.926,0.848,0.885,0.744,0.444,0.640,0.525,0.744,0.552,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2E1,ecfp6_rdkDes_avalon_hashap,MultinomialNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True]}",0.001,1041,884,157,0,144,25,0,0.726,20,94,38,5,0.334,0.949,0.712,0.814,0.756,0.345,0.800,0.482,0.756,3.063,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2E1,ecfp6_rdkDes_avalon_hashap,XGBClassifier_default,"{'base_score': [0.5], 'booster': ['gbtree'], 'colsample_bylevel': [1], 'colsample_bynode': [1], 'colsample_bytree': [1], 'gamma': [0], 'learning_rate': [0.1], 'max_delta_step': [0], 'max_depth': [3], 'min_child_weight': [1], 'missing': [None], 'n_estimators': [100], 'n_jobs': [1], 'nthread': [None], 'objective': ['binary:logistic'], 'random_state': [7], 'reg_alpha': [0], 'reg_lambda': [1], 'scale_pos_weight': [1], 'seed': [None], 'silent': [None], 'subsample': [1], 'verbosity': [1]}",0.223,1041,884,157,0,144,25,0,0.904,11,131,1,14,0.548,0.903,0.992,0.946,0.716,0.917,0.440,0.595,0.716,0.233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2E1,ecfp6_rdkDes_avalon_hashap,DummyClassifier_default,"{'constant': [None], 'random_state': [7], 'strategy': ['stratified']}",0.000,1041,884,157,0,144,25,0,0.745,3,114,18,22,-0.017,0.838,0.864,0.851,0.492,0.143,0.120,0.130,0.492,8.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
