,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
0,3A4,ecfp6,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [7], 'verbose': [0], 'warm_start': [False]}",0.001,1041,884,157,0,600,107,0,0.739,89,27,23,18,0.382,0.600,0.540,0.568,0.686,0.795,0.832,0.813,0.686,0.928,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,3A4,ecfp6,DecisionTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': [None], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'presort': [False], 'random_state': [7], 'splitter': ['best']}",0.002,1041,884,157,0,600,107,0,0.662,82,22,28,25,0.210,0.468,0.440,0.454,0.603,0.745,0.766,0.756,0.603,11.660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,3A4,ecfp6,AdaBoostClassifier_default,"{'algorithm': ['SAMME.R'], 'base_estimator': [None], 'learning_rate': [1.0], 'n_estimators': [50], 'random_state': [7]}",0.011,1041,884,157,0,600,107,0,0.707,86,25,25,21,0.310,0.543,0.500,0.521,0.652,0.775,0.804,0.789,0.652,0.673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,3A4,ecfp6,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [7], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",0.061,1041,884,157,0,600,107,0,0.771,97,24,26,10,0.423,0.706,0.480,0.571,0.693,0.789,0.907,0.843,0.693,1.292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,3A4,ecfp6,GradientBoostingClassifier_default,"{'criterion': ['friedman_mse'], 'init': [None], 'learning_rate': [0.1], 'loss': ['deviance'], 'max_depth': [3], 'max_features': [None], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': [100], 'n_iter_no_change': [None], 'presort': ['auto'], 'random_state': [7], 'subsample': [1.0], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.054,1041,884,157,0,600,107,0,0.745,93,24,26,14,0.373,0.632,0.480,0.545,0.675,0.782,0.869,0.823,0.675,0.522,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,3A4,ecfp6,LinearDiscriminantAnalysis_default,"{'n_components': [None], 'priors': [None], 'shrinkage': [None], 'solver': ['svd'], 'store_covariance': [False], 'tol': [0.0001]}",0.010,1041,884,157,0,600,107,0,0.688,78,30,20,29,0.314,0.508,0.600,0.550,0.664,0.796,0.729,0.761,0.664,10.171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,3A4,ecfp6,LogisticRegression_default,"{'C': [1.0], 'class_weight': [None], 'dual': [False], 'fit_intercept': [True], 'intercept_scaling': [1], 'l1_ratio': [None], 'max_iter': [100], 'multi_class': ['warn'], 'n_jobs': [None], 'penalty': ['l2'], 'random_state': [7], 'solver': ['warn'], 'tol': [0.0001], 'verbose': [0], 'warm_start': [False]}",0.001,1041,884,157,0,600,107,0,0.764,93,27,23,14,0.430,0.659,0.540,0.593,0.705,0.802,0.869,0.834,0.705,0.619,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,3A4,ecfp6,KNeighborsClassifier_default,"{'algorithm': ['auto'], 'leaf_size': [30], 'metric': ['minkowski'], 'metric_params': [None], 'n_jobs': [None], 'n_neighbors': [5], 'p': [2], 'weights': ['uniform']}",0.008,1041,884,157,0,600,107,0,0.611,53,43,7,54,0.284,0.443,0.860,0.585,0.678,0.883,0.495,0.635,0.678,2.085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,3A4,ecfp6,MultinomialNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True]}",0.001,1041,884,157,0,600,107,0,0.707,87,24,26,20,0.303,0.545,0.480,0.511,0.647,0.770,0.813,0.791,0.647,1.196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,3A4,ecfp6,XGBClassifier_default,"{'base_score': [0.5], 'booster': ['gbtree'], 'colsample_bylevel': [1], 'colsample_bynode': [1], 'colsample_bytree': [1], 'gamma': [0], 'learning_rate': [0.1], 'max_delta_step': [0], 'max_depth': [3], 'min_child_weight': [1], 'missing': [None], 'n_estimators': [100], 'n_jobs': [1], 'nthread': [None], 'objective': ['binary:logistic'], 'random_state': [7], 'reg_alpha': [0], 'reg_lambda': [1], 'scale_pos_weight': [1], 'seed': [None], 'silent': [None], 'subsample': [1], 'verbosity': [1]}",0.069,1041,884,157,0,600,107,0,0.739,92,24,26,15,0.361,0.615,0.480,0.539,0.670,0.780,0.860,0.818,0.670,0.524,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
