"","clustTrueTrain0","clustFalseTrain0","clustTrueTrain1","clustFalseTrain1","clustTrueTrain2","clustFalseTrain2","clustTrue0","clustFalse0","clustTrue1","clustFalse1","clustTrue2","clustFalse2"
"CHEMBL1614338",20,4,27,5,21,3,14,2,7,1,13,3
"CHEMBL1243971",5,4,21,21,20,19,18,18,2,1,3,3
"CHEMBL1614044",41,12,18,12,43,8,10,4,33,4,8,8
"CHEMBL2045986",79,6,67,2,30,6,9,1,21,5,58,1
"CHEMBL618396",45,7,33,4,50,9,19,3,31,6,14,1
"CHEMBL3079731",37,3,55,9,58,8,38,7,20,1,17,2
"CHEMBL1794498",27,34,41,38,26,36,20,20,6,16,21,18
"CHEMBL2091156",62,14,24,8,58,12,10,3,48,9,14,5
"CHEMBL2363253",28,21,24,25,28,24,12,14,16,10,12,11
"CHEMBL1738192",13,59,9,45,12,64,4,25,8,39,5,20
"CHEMBL1614154",62,7,52,6,76,7,33,3,43,4,19,3
"CHEMBL1964055",58,7,61,9,61,4,32,3,29,1,29,6
"CHEMBL2363800",21,36,18,30,19,34,8,14,11,20,10,16
"CHEMBL1794420",28,33,39,40,25,37,18,22,7,15,21,18
"CHEMBL2363263",24,25,19,32,17,29,6,18,11,11,13,14
"CHEMBL2363552",18,33,18,32,14,43,7,21,7,22,11,11
"CHEMBL2363168",18,34,23,29,25,35,15,15,10,20,8,14
"CHEMBL3214806",59,8,60,6,69,6,35,2,34,4,25,4
"CHEMBL1794455",29,32,41,38,26,36,19,21,7,15,22,17
"CHEMBL1613998",62,12,57,12,63,10,29,5,34,5,28,7
"CHEMBL1614056",11,57,13,61,14,46,8,25,6,21,5,36
"CHEMBL1613903",30,38,34,40,24,36,14,19,10,17,20,21
"CHEMBL2363184",13,51,11,48,14,51,6,24,8,27,5,24
"CHEMBL1738619",15,57,8,56,11,55,2,27,9,28,6,29
"CHEMBL2363227",20,40,18,38,20,42,9,20,11,22,9,18
"CHEMBL1738514",48,20,49,16,51,18,26,7,25,11,23,9
"CHEMBL2114927",16,59,9,67,9,54,1,31,8,23,8,36
"CHEMBL763093",53,14,33,15,58,23,19,12,39,11,14,3
"CHEMBL1614525",28,30,32,40,36,34,20,22,16,12,12,18
"CHEMBL2114803",51,18,54,14,57,16,30,6,27,10,24,8
"CHEMBL1613775",34,29,47,28,41,27,27,13,14,14,20,15
"CHEMBL1614373",48,21,50,23,50,22,26,12,24,10,24,11
"CHEMBL1614070",13,4,17,5,22,3,13,2,9,1,4,3
"CHEMBL1026934",74,3,52,4,76,5,27,3,49,2,25,1
"CHEMBL1026933",37,22,7,17,40,19,5,7,35,12,2,10
"CHEMBL2363723",21,33,17,32,18,35,7,17,11,18,10,15
"CHEMBL864855",75,7,78,7,9,2,6,1,3,1,72,6
"CHEMBL772766",19,33,9,33,18,48,4,24,14,24,5,9
"CHEMBL806152",16,23,17,12,21,15,11,2,10,13,6,10
"CHEMBL1613812",20,4,51,3,55,3,43,1,12,2,8,2
"CHEMBL2363265",25,35,26,28,23,37,12,15,11,22,14,13
"CHEMBL1024480",4,34,4,34,2,18,1,9,1,9,3,25
"CHEMBL2363541",23,42,21,41,20,41,9,20,11,21,12,21
"CHEMBL1614177",4,64,4,57,2,63,1,28,1,35,3,29
"CHEMBL1804798",17,34,14,37,9,31,3,17,6,14,11,20
"CHEMBL3111191",11,60,4,41,13,91,3,36,10,55,1,5
"CHEMBL1031359",56,3,90,3,46,2,40,1,6,1,50,2
"CHEMBL2363544",25,42,27,33,24,43,13,17,11,26,14,16
"CHEMBL2363339",24,28,19,30,25,26,10,14,15,12,9,16
"CHEMBL2363169",21,33,17,35,20,42,8,22,12,20,9,13
"CHEMBL2363165",14,30,18,30,20,34,12,17,8,17,6,13
"CHEMBL1738313",34,39,23,44,31,37,10,21,21,16,13,23
"CHEMBL2363531",20,38,20,31,22,37,11,15,11,22,9,16
"CHEMBL2363621",28,38,25,36,25,38,11,18,14,20,14,18
"CHEMBL1614265",44,14,39,16,39,14,17,8,22,6,22,8
"CHEMBL1738092",62,12,59,8,67,10,32,3,35,7,27,5
"CHEMBL1614380",20,65,10,62,16,37,3,17,13,20,7,45
"CHEMBL2363420",27,36,28,33,31,29,16,13,15,16,12,20
"CHEMBL2354307",56,6,86,8,76,8,53,5,23,3,33,3
"CHEMBL2363375",29,26,25,26,24,26,10,13,14,13,15,13
"CHEMBL1738423",21,59,9,50,22,57,5,24,17,33,4,26
"CHEMBL3214828",30,46,34,38,42,34,23,13,19,21,11,25
"CHEMBL2114883",42,36,44,30,34,32,18,13,16,19,26,17
"CHEMBL1614408",52,26,41,26,59,24,24,12,35,12,17,14
"CHEMBL872182",21,41,21,26,16,33,8,9,8,24,13,17
"CHEMBL2363299",28,29,29,26,35,25,18,11,17,14,11,15
"CHEMBL1820680",22,17,4,10,24,17,3,5,21,12,1,5
"CHEMBL663474",14,4,70,13,78,11,67,10,11,1,3,3
"CHEMBL2363268",27,39,29,33,28,40,15,17,13,23,14,16
"CHEMBL2363393",24,42,21,33,21,41,9,16,12,25,12,17
"CHEMBL1737862",62,19,34,24,66,13,19,9,47,4,15,15
"CHEMBL2363642",28,35,26,30,24,35,11,15,13,20,15,15
"CHEMBL3215144",58,15,62,10,58,15,31,5,27,10,31,5
"CHEMBL2363467",23,34,25,30,20,36,11,16,9,20,14,14
"CHEMBL2363174",30,34,25,36,29,36,12,19,17,17,13,17
"CHEMBL1614417",56,22,45,22,65,18,27,9,38,9,18,13
"CHEMBL1614539",35,9,54,8,57,7,38,3,19,4,16,5
"CHEMBL1738684",65,8,58,12,61,8,27,6,34,2,31,6
"CHEMBL3214981",66,5,69,10,67,9,35,7,32,2,34,3
"CHEMBL2363321",14,51,16,46,12,51,7,23,5,28,9,23
"CHEMBL3111197",6,65,9,36,13,91,8,31,5,60,1,5
"CHEMBL2114718",64,13,56,11,68,14,30,6,38,8,26,5
"CHEMBL1963857",47,25,37,29,48,32,19,18,29,14,18,11
"CHEMBL2363453",20,38,18,36,18,42,8,20,10,22,10,16
"CHEMBL2363176",36,27,38,17,40,22,21,6,19,16,17,11
"CHEMBL1963849",55,26,69,13,70,15,42,1,28,14,27,12
"CHEMBL1614210",34,55,24,42,40,51,15,19,25,32,9,23
"CHEMBL2354260",23,36,40,45,35,37,26,23,9,14,14,22
"CHEMBL2363449",11,57,11,56,10,61,5,30,5,31,6,26
"CHEMBL1614482",22,39,35,42,33,53,23,28,10,25,12,14
"CHEMBL1614220",47,28,60,23,61,31,37,13,24,18,23,10
"CHEMBL2114914",65,15,56,14,55,17,23,8,32,9,33,6
"CHEMBL2363438",32,27,31,30,33,29,16,16,17,13,15,14
"CHEMBL1613956",53,33,43,26,52,31,21,12,31,19,22,14
"CHEMBL1613806",32,29,39,38,43,43,25,26,18,17,14,12
"CHEMBL1614450",81,10,59,5,86,11,32,3,54,8,27,2
"CHEMBL1167052",4,5,73,13,71,14,70,11,1,3,3,2
"CHEMBL1002712",49,21,50,21,47,12,24,6,23,6,26,15
"CHEMBL3111194",9,62,6,39,13,91,5,34,8,57,1,5
"CHEMBL1613859",16,46,11,39,19,39,7,16,12,23,4,23
"CHEMBL2363146",23,44,23,43,18,47,9,23,9,24,14,20
"CHEMBL2363395",20,44,18,40,16,46,7,21,9,25,11,19
"CHEMBL938648",35,9,63,9,80,12,54,6,26,6,9,3
"CHEMBL1613980",13,66,8,71,17,77,6,41,11,36,2,30
"CHEMBL2363581",24,37,24,40,24,41,12,22,12,19,12,18
"CHEMBL3215132",63,11,68,9,69,8,37,3,32,5,31,6
"CHEMBL1614267",49,19,52,25,57,22,30,14,27,8,22,11
"CHEMBL2363277",32,32,29,30,31,34,14,16,17,18,15,14
"CHEMBL3111192",7,64,5,40,10,94,4,35,6,59,1,5
"CHEMBL3111198",20,51,11,34,25,79,8,31,17,48,3,3
