"","StaticF","SemiF","ECFP6","DFS8","ECFP6+ToxF"
"CHEMBL1614338",0.485653235653236,0.629120879120879,0.911477411477411,0.756410256410256,0.715811965811966
"CHEMBL1243971",0.551440329218107,0.426954732510288,0.415637860082305,0.511316872427984,0.361111111111111
"CHEMBL1614044",0.641208964646465,0.81729797979798,0.710479797979798,0.874147727272727,0.80864898989899
"CHEMBL2045986",0.905820105820106,0.864094143404488,0.93968253968254,0.888888888888889,0.95615763546798
"CHEMBL618396",0.918889966852615,0.988304093567251,0.947368421052632,0.98292774948123,0.943784191661951
"CHEMBL3079731",0.478586171310629,0.452896948252985,0.481225121627598,0.770396579684505,0.475770308123249
"CHEMBL1794498",0.953862433862434,0.957369929453263,0.954772927689594,0.950961199294533,0.949440035273369
"CHEMBL2091156",0.882231040564374,0.849581128747795,0.883553791887125,0.914803791887125,0.876477072310406
"CHEMBL2363253",0.6311056998557,0.737653318903319,0.743659812409812,0.590674603174603,0.673511904761905
"CHEMBL1738192",0.811709401709402,0.793162393162393,0.779615384615385,0.76517094017094,0.878461538461538
"CHEMBL1614154",0.781989622870896,0.973063973063973,0.846358320042531,0.868491112677159,0.886461514368491
"CHEMBL1964055",0.795378352490421,0.822557471264368,0.567289272030651,0.615541187739464,0.797772988505747
"CHEMBL2363800",0.462905844155844,0.506655844155844,0.578165584415584,0.456628787878788,0.568154761904762
"CHEMBL1794420",0.909531826198493,0.912722462722463,0.92365720699054,0.924895783229117,0.932034632034632
"CHEMBL2363263",0.517891480012692,0.605551294945234,0.615360789603214,0.619841157719946,0.640496708678527
"CHEMBL2363552",0.722456475703229,0.781019845954911,0.790240062967336,0.732801109424486,0.804988662131519
"CHEMBL2363168",0.715582010582011,0.828320105820106,0.692685185185185,0.606772486772487,0.747354497354497
"CHEMBL3214806",0.594887955182073,0.747254901960784,0.917114845938375,0.82656862745098,0.876134453781513
"CHEMBL1794455",0.912390602173884,0.955218706302298,0.939790653103347,0.942463109645772,0.950929909443841
"CHEMBL1613998",0.568441169571277,0.717905783002856,0.563857956975894,0.703778752880463,0.602517558747637
"CHEMBL1614056",0.706732804232804,0.835238095238095,0.776031746031746,0.822513227513228,0.824920634920635
"CHEMBL1613903",0.471293429652563,0.555833210477173,0.522733303847855,0.583134306354121,0.573765295591921
"CHEMBL2363184",0.548765432098765,0.66820987654321,0.699691358024691,0.514969135802469,0.704938271604938
"CHEMBL1738619",0.540838046585173,0.712339597397069,0.680137444505261,0.689761600681141,0.663260962111537
"CHEMBL2363227",0.567734584906302,0.724701561065197,0.677177498894671,0.610791415841921,0.70255416114002
"CHEMBL1738514",0.59574187487231,0.629580274797666,0.482052987270379,0.551384235732062,0.45839365143713
"CHEMBL2114927",0.29792445846969,0.456172731286686,0.53504850397382,0.520367448444237,0.552073593579554
"CHEMBL763093",0.80065986644934,0.898683188156872,0.776625421362263,0.807343241553768,0.799497286339392
"CHEMBL1614525",0.662875280583614,0.731593714927048,0.709129489337823,0.68896955667789,0.711191778900112
"CHEMBL2114803",0.819714506172839,0.858873456790124,0.85516975308642,0.802469135802469,0.858989197530864
"CHEMBL1613775",0.789108862918387,0.902256526542241,0.893827354303545,0.903938988700894,0.863302129968797
"CHEMBL1614373",0.392094017094017,0.54268648018648,0.548271173271173,0.593288655788656,0.590345765345765
"CHEMBL1614070",0.617521367521368,0.706552706552707,0.711538461538462,0.648148148148148,0.586894586894587
"CHEMBL1026934",0.993197278911565,0.984966826236668,0.993197278911565,0.983265306122449,0.968945998152347
"CHEMBL1026933",0.947619047619048,0.954761904761905,0.919047619047619,0.983333333333333,0.980952380952381
"CHEMBL2363723",0.625359477124183,0.689868998104292,0.715897914721444,0.659822312763489,0.74884022295787
"CHEMBL864855",0.503858024691358,0.522376543209877,0.628858024691358,0.66820987654321,0.506172839506173
"CHEMBL772766",0.585582010582011,0.66848544973545,0.729761904761905,0.573214285714286,0.708333333333333
