"","StaticF: fold0","StaticF: fold1","StaticF: fold2","SemiF: fold0","SemiF: fold1","SemiF: fold2","ECFP6: fold0","ECFP6: fold1","ECFP6: fold2","DFS8: fold0","DFS8: fold1","DFS8: fold2","ECFP6+ToxF: fold0","ECFP6+ToxF: fold1","ECFP6+ToxF: fold2"
"CHEMBL1614338",0.905245548102691,0.858078231292517,0.858703476011168,0.94117241885099,0.858758503401361,0.985096153846154,0.968963476999191,1,0.988130459284305,0.930117997082283,0.980867346938776,0.94699814074814,0.973529149422006,0.900425170068027,0.978932445759368
"CHEMBL1243971",0.697373042163792,0.416666666666667,1,0.826477178136628,0.416666666666667,0.405555555555556,0.799150073692613,0.416666666666667,0.655555555555556,0.694088954152745,0.791666666666667,0.405555555555556,0.62361786045213,0.416666666666667,0.655555555555556
"CHEMBL1614044",0.866275391275391,0.946367462353846,0.691025641025641,0.982575757575758,0.992645564191135,0.663247863247863,0.863768176268176,0.986473829780489,0.644829649517149,0.972020202020202,0.991483233767925,0.840001144688645,0.968093434343434,0.996433394294357,0.627558379120879
"CHEMBL2045986",0.988271604938272,0.958201735054561,1,1,0.878251691737452,0.999705254035753,1,0.959539685541671,1,1,0.880472942708703,1,1,0.972642435230339,0.999705254035753
"CHEMBL618396",0.980462519936204,0.993279569892473,0.995238095238095,0.994452139119729,1,1,0.968509639067322,1,1,0.994452139119729,0.996819382647386,1,0.972320594194066,0.997917750607007,1
"CHEMBL3079731",0.80403115540634,0.937255874285673,0.965390467855866,0.884503293490965,0.84392254095234,0.965390467855866,0.886252946013883,0.916839207619006,0.935255080367537,0.867560444648881,0.975951880077267,0.996635909265667,0.876290344588073,0.916839207619006,0.952236873084624
"CHEMBL1794498",0.940112182225106,0.92962962962963,0.976085955319365,0.932824466882477,0.974206349206349,0.978408859987808,0.932973138201478,0.974206349206349,0.97397678412716,0.947196869307163,0.943650793650794,0.951571931271179,0.94928339061466,0.955357142857143,0.966076307429691
"CHEMBL2091156",0.954700577200577,0.972990410928683,0.975382595683348,0.827260101010101,0.973265179802347,0.990773809523809,0.920790043290043,0.97834604707365,0.987001050420168,0.990454545454545,0.956939848853446,0.987001050420168,0.920692640692641,0.973946482710608,0.983660130718954
"CHEMBL2363253",0.665991638972483,0.694649109105231,0.749908123643443,0.771269505634831,0.772756132002056,0.87803174494351,0.832461943249987,0.795631653929688,0.850405799946241,0.695740752303252,0.723396119537245,0.732165339784341,0.801787715812652,0.744759535878535,0.827730831832999
"CHEMBL1738192",0.38327850877193,0.511471613817152,0.895604395604396,0.348302904824644,0.73639997665733,0.86,0.366640037593985,0.458233086358086,1,0.37634899068323,0.415887997827336,0.963333333333333,0.428251262626263,0.714321036332421,1
"CHEMBL1614154",0.887375497350883,0.992808654297954,0.96390977443609,0.991869237542175,1,1,0.934974614331027,1,0.968498889153321,0.924555802598585,0.991091508479485,1,0.985952196105276,0.972821201398484,1
"CHEMBL1964055",0.979214131348074,0.988586707761861,0.966367395637779,0.998045920393451,0.984244944945389,0.971694180653642,0.915266574824852,0.984243372113851,0.807204965588016,0.993373878602027,0.920032584700553,0.96694543540016,0.985920500830321,0.992301388882839,0.923302478810275
"CHEMBL2363800",0.300715131585391,0.404737402860739,0.36159876618685,0.325098667779589,0.321783189216417,0.452366962859458,0.616309713678135,0.389715869124172,0.412560402031226,0.318170611047449,0.300542857268182,0.512024914556884,0.505648518148518,0.390001058065075,0.504712024087024
"CHEMBL1794420",0.906062304425308,0.866433941997852,0.961539469092644,0.841602343066481,0.894859307359307,0.949034304699603,0.771778559725008,0.944160997732426,0.950423996878769,0.853141728900299,0.897155225726654,0.954058551126499,0.860841067540741,0.944160997732426,0.945281103014071
"CHEMBL2363263",0.232673668391379,0.621703378321025,0.594143955492789,0.267863636120215,0.73734903453803,0.643966990395747,0.5506277771724,0.726231826699741,0.576538026880836,0.451140284835937,0.716583569665472,0.675673996310897,0.672720229945294,0.739521274180365,0.619712592658687
"CHEMBL2363552",0.529504005190504,0.74135705564277,0.784145125522131,0.516978259835403,0.898362507058159,0.873386774044669,0.69156223893066,0.753357951572237,0.781259957753414,0.604735740450026,0.789513313197524,0.733757634225549,0.617884350883409,0.966269841269841,0.769623432123432
"CHEMBL2363168",0.612801533619209,0.674898879285489,0.74308287709023,0.768012752179081,0.784175637958533,0.810724345099345,0.76515352273368,0.67071231612472,0.470013870932989,0.60333697632311,0.623207026486143,0.632939721097616,0.727163572873718,0.802004281949934,0.701333745373993
"CHEMBL3214806",0.969166348703289,0.937686512180778,0.890387090439028,0.987233550363833,0.949025161831969,0.961245520673337,0.995091773605429,0.987733496940611,0.99124577491474,0.977844182439977,0.987548753395965,0.983367973489113,0.995167508444819,0.972776377425419,0.988151423372563
"CHEMBL1794455",0.949491187443117,0.839960832817976,0.980051847783541,0.929919459692185,0.954761904761905,0.975511207848164,0.872273558387543,0.966269841269841,0.966120476533332,0.941218431099073,0.906462585034014,0.950067708958435,0.94409941395074,0.944160997732426,0.972578661494565
"CHEMBL1613998",0.895234463457354,0.843595652823033,0.904228372061423,0.948969267494178,0.968531388468048,0.866688483673699,0.943732386501434,0.879212243593447,0.788915636359429,0.926299611279274,0.950744977062209,0.908973764409364,0.942269153975918,0.92637774888405,0.80727084609491
"CHEMBL1614056",0.517985426929392,0.217054636181958,0.783333333333333,0.812893356643357,0.390140682903841,0.849444444444444,0.687176634114021,0.311211029467608,0.585334548492443,0.770156926406926,0.362019090801986,0.768452380952381,0.680913220551378,0.321878121878122,0.466309523809524
"CHEMBL1613903",0.45874927958632,0.293875727314195,0.468448603119656,0.534111543276051,0.329466595768066,0.620388671241557,0.479851168992903,0.295849497266293,0.545581203544542,0.571467404826769,0.42405835776424,0.574323278724759,0.452659600735799,0.551301638649162,0.55330318556285
"CHEMBL2363184",0.223082310661712,0.420684473521164,0.221413956413956,0.221667281993369,0.494307493169,0.663195488721805,0.28001300311138,0.390243335946461,0.475079365079365,0.186898586163292,0.35216134202807,0.249745517640254,0.398333842083842,0.437658437305763,0.698787878787879
"CHEMBL1738619",0.0729166666666667,0.250651011932252,0.158046162762187,0.540204678362573,0.321272094865445,0.356010327391906,0.547916666666667,0.454294899947074,0.231824040157374,0.534632034632035,0.423293333518652,0.361303549964541,0.547916666666667,0.365413834154431,0.37453533631283
"CHEMBL2363227",0.409104136604137,0.494872166786823,0.452096977096977,0.584820734820735,0.552838915554433,0.711693277482751,0.786698894420034,0.503455919275503,0.595747643786859,0.425769086880198,0.38574866428805,0.65382047289942,0.757958699021501,0.527160345179625,0.638934553530787
"CHEMBL1738514",0.895571633434234,0.770669428086186,0.77789431274589,0.786435881206852,0.78763178913324,0.884542341470348,0.788282302705223,0.649224766213444,0.734976308181861,0.847381636074667,0.672057493325661,0.770270961740348,0.806369148882947,0.668661229939952,0.697156367299339
"CHEMBL2114927",0.0166666666666667,0.24850912975913,0.123222271178614,0.0192307692307692,0.583750141855161,0.178443686294126,0.0277777777777778,0.372175735854983,0.364986854780903,0.02,0.377357106181181,0.582575159045747,0.0263157894736842,0.56874387254902,0.188723631855888
"CHEMBL763093",0.859957880491378,0.842053178947042,0.987001050420168,0.931140765718983,0.909640998307714,1,0.847530545213293,0.810278243582639,0.973161764705882,0.861089895180691,0.864572159943891,0.977823367109081,0.879403737364875,0.7998249842697,0.99077380952381
"CHEMBL1614525",0.600921855075081,0.818553139271103,0.506682174226034,0.750517532083309,0.771009741301051,0.743056891938471,0.657562334911321,0.726322510259405,0.841089585263179,0.67376625433178,0.770419207861263,0.572924064526232,0.6479244941408,0.708111929369774,0.74752336216797
"CHEMBL2114803",0.972906354895379,0.906761182341285,0.922568174763952,0.977872500818421,0.945274598793987,0.93950982362816,0.974615039505385,0.950815970919036,0.927667351665511,0.948482029781964,0.878366010090497,0.943144591981893,0.970848887797237,0.964268017780653,0.931925580930365
