,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Active Size,Inactive Size,Indeterminate Size,Train_size,Val_size,Test_size,Train_active_size,Val_active_size,Test_active_size,Train_inactive_size,Val_inactive_size,Test_inactive_size,Train_indeterminate_size,Val_indeterminate_size,Test_indeterminate_size,Accuracy_Val,TP_val_0,TN_val_0,FP_val_0,FN_val_0,TP_val_1,TN_val_1,FP_val_1,FN_val_1,TP_val_2,TN_val_2,FP_val_2,FN_val_2,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,Precision_2_Val,Recall_2_Val,F1_Score_2_Val,AUC_output_0_Val,AUC_output_1_Val,AUC_output_2_Val,Log_Loss_Val,Accuracy_Test,TP_test_0,TN_test_0,FP_test_0,FN_test_0,TP_test_1,TN_test_1,FP_test_1,FN_test_1,TP_test_2,TN_test_2,FP_test_2,FN_test_2,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,Precision_2_Test,Recall_2_Test,F1 Score_2_Test,AUC_output_0_Test,AUC_output_1_Test,AUC_output_2_Test,Log_Loss_Test
0,Cytochrome_P450_11B1,rdk_fp,GaussianNB_default,"{'priors': [None], 'var_smoothing': [1e-09]}",0.002,838,673,4,161,586,126,126,471,101,101,2,1,1,113,24,24,0.7140000000000001,74,17,8,27,0,125,0,1,16,74,28,8,0.306,0.902,0.733,0.809,0.0,0.0,0.0,0.364,0.667,0.471,0.706,0.5,0.696,9.472999999999999,0.706,71,19,6,30,0,125,0,1,18,71,31,6,0.327,0.922,0.703,0.7979999999999999,0.0,0.0,0.0,0.3670000000000001,0.75,0.493,0.731,0.5,0.723,10.142000000000001
1,Cytochrome_P450_11B1,rdk_fp,KNeighborsClassifier_default,"{'algorithm': ['auto'], 'leaf_size': [30], 'metric': ['minkowski'], 'metric_params': [None], 'n_jobs': [None], 'n_neighbors': [5], 'p': [2], 'weights': ['uniform']}",0.017,838,673,4,161,586,126,126,471,101,101,2,1,1,113,24,24,0.857,96,12,13,5,0,125,0,1,12,97,5,12,0.491,0.8809999999999999,0.95,0.914,0.0,0.0,0.0,0.706,0.5,0.585,0.715,0.5,0.725,1.3159999999999998,0.865,97,12,13,4,0,125,0,1,12,98,4,12,0.511,0.882,0.96,0.919,0.0,0.0,0.0,0.75,0.5,0.6,0.72,0.5,0.73,1.051
2,Cytochrome_P450_11B1,avalon_fp,ComplementNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True], 'norm': [False]}",0.002,837,671,4,162,585,126,126,469,101,101,2,1,1,114,24,24,0.698,68,21,4,33,0,125,0,1,20,68,34,4,0.345,0.944,0.6729999999999999,0.7859999999999999,0.0,0.0,0.0,0.37,0.833,0.513,0.757,0.5,0.75,2.4819999999999998,0.659,66,17,8,35,0,125,0,1,17,67,35,7,0.243,0.892,0.653,0.754,0.0,0.0,0.0,0.327,0.708,0.447,0.667,0.5,0.6829999999999999,2.472
3,Cytochrome_P450_11B1,rdk_fp,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.003,838,673,4,161,586,126,126,471,101,101,2,1,1,113,24,24,0.865,96,13,12,5,0,125,0,1,13,97,5,11,0.528,0.889,0.95,0.919,0.0,0.0,0.0,0.722,0.542,0.619,0.735,0.5,0.746,1.571,0.8490000000000001,96,11,14,5,0,125,0,1,11,97,5,13,0.454,0.873,0.95,0.91,0.0,0.0,0.0,0.688,0.458,0.55,0.695,0.5,0.705,1.599
4,Cytochrome_P450_11B1,ecfp6_fp,BayesianGaussianMixture_default,"{'covariance_prior': [None], 'covariance_type': ['full'], 'degrees_of_freedom_prior': [None], 'init_params': ['kmeans'], 'max_iter': [100], 'mean_precision_prior': [None], 'mean_prior': [None], 'n_components': [1], 'n_init': [1], 'random_state': [None], 'reg_covar': [1e-06], 'tol': [0.001], 'verbose': [0], 'verbose_interval': [10], 'warm_start': [False], 'weight_concentration_prior': [None], 'weight_concentration_prior_type': ['dirichlet_process']}",0.013,840,674,4,162,588,126,126,472,101,101,2,1,1,114,24,24,0.802,101,0,25,0,0,125,0,1,0,102,0,24,0.0,0.802,1.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,-,0.802,101,0,25,0,0,125,0,1,0,102,0,24,0.0,0.802,1.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,-
5,Cytochrome_P450_11B1,rdk_fp,GradientBoostingClassifier_default,"{'criterion': ['friedman_mse'], 'init': [None], 'learning_rate': [0.1], 'loss': ['deviance'], 'max_depth': [3], 'max_features': [None], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': [100], 'n_iter_no_change': [None], 'presort': ['auto'], 'random_state': [None], 'subsample': [1.0], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.119,838,673,4,161,586,126,126,471,101,101,2,1,1,113,24,24,0.841,95,11,14,6,0,125,0,1,11,96,6,13,0.435,0.872,0.941,0.905,0.0,0.0,0.0,0.647,0.458,0.537,0.69,0.5,0.7,0.474,0.825,95,9,16,6,0,123,2,1,9,98,4,15,0.363,0.856,0.941,0.8959999999999999,0.0,0.0,0.0,0.6920000000000001,0.375,0.486,0.65,0.4920000000000001,0.6679999999999999,0.514
6,Cytochrome_P450_11B1,morgan_fp,GaussianNB_default,"{'priors': [None], 'var_smoothing': [1e-09]}",0.002,840,674,4,162,588,126,126,472,101,101,2,1,1,114,24,24,0.754,89,6,19,12,0,125,0,1,6,90,12,18,0.139,0.8240000000000001,0.8809999999999999,0.852,0.0,0.0,0.0,0.333,0.25,0.28600000000000003,0.561,0.5,0.5660000000000001,8.498,0.762,84,12,13,17,0,125,0,1,12,85,17,12,0.298,0.866,0.8320000000000001,0.848,0.0,0.0,0.0,0.414,0.5,0.453,0.6559999999999999,0.5,0.667,8.224
7,Cytochrome_P450_11B1,rdk_fp,BayesianGaussianMixture_default,"{'covariance_prior': [None], 'covariance_type': ['full'], 'degrees_of_freedom_prior': [None], 'init_params': ['kmeans'], 'max_iter': [100], 'mean_precision_prior': [None], 'mean_prior': [None], 'n_components': [1], 'n_init': [1], 'random_state': [None], 'reg_covar': [1e-06], 'tol': [0.001], 'verbose': [0], 'verbose_interval': [10], 'warm_start': [False], 'weight_concentration_prior': [None], 'weight_concentration_prior_type': ['dirichlet_process']}",0.058,838,673,4,161,586,126,126,471,101,101,2,1,1,113,24,24,0.802,101,0,25,0,0,125,0,1,0,102,0,24,0.0,0.802,1.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,-,0.802,101,0,25,0,0,125,0,1,0,102,0,24,0.0,0.802,1.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,-
8,Cytochrome_P450_11B1,avalon_fp,MultinomialNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True]}",0.001,837,671,4,162,585,126,126,469,101,101,2,1,1,114,24,24,0.698,68,20,5,33,0,124,1,1,20,70,32,4,0.34,0.932,0.6729999999999999,0.782,0.0,0.0,0.0,0.385,0.833,0.526,0.737,0.496,0.76,2.3169999999999997,0.643,68,13,12,33,0,123,2,1,13,71,31,11,0.159,0.85,0.6729999999999999,0.7509999999999999,0.0,0.0,0.0,0.295,0.542,0.382,0.597,0.4920000000000001,0.619,2.4530000000000003
9,Cytochrome_P450_11B1,morgan_fp,OneVsOneClassifier_default,"{'estimator__alpha': [1.0], 'estimator__class_prior': [None], 'estimator__fit_prior': [True], 'estimator': [MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True)], 'n_jobs': [None]}",0.002,840,674,4,162,588,126,126,472,101,101,2,1,1,114,24,24,0.77,81,16,9,20,0,125,0,1,16,82,20,8,0.383,0.9,0.802,0.848,0.0,0.0,0.0,0.444,0.667,0.5329999999999999,0.721,0.5,0.735,-,0.794,82,18,7,19,0,125,0,1,18,83,19,6,0.454,0.921,0.812,0.863,0.0,0.0,0.0,0.486,0.75,0.59,0.7659999999999999,0.5,0.782,-
