,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
0,1A1_ind,ecfp0,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.009000000000000001,1525,1067,229,229,35,7,7,0.961,1,219,3,6,0.163,0.973,0.986,0.98,0.565,0.25,0.14300000000000002,0.182,0.565,1.3880000000000001,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,1.099
1,1A1_inh,rdk5,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.008,1525,1067,229,229,31,7,7,0.9690000000000001,2,220,2,5,0.349,0.978,0.991,0.9840000000000001,0.638,0.5,0.28600000000000003,0.364,0.638,0.679,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,0.667
2,1A1_sub,lecfp6,Perceptron_default,"{'alpha': [0.0001], 'class_weight': [None], 'early_stopping': [False], 'eta0': [1.0], 'fit_intercept': [True], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': [None], 'random_state': [0], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.043,1525,1067,229,229,35,7,7,0.9690000000000001,2,220,2,5,0.349,0.978,0.991,0.9840000000000001,0.638,0.5,0.28600000000000003,0.364,0.638,-,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,-
3,1A2_ind,hashtt,MultinomialNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True]}",0.008,1525,1067,229,229,27,6,6,0.961,2,218,5,4,0.28800000000000003,0.982,0.978,0.98,0.655,0.28600000000000003,0.33299999999999996,0.308,0.655,0.489,0.961,1,219,4,5,0.162,0.978,0.982,0.98,0.574,0.2,0.16699999999999998,0.182,0.574,0.485
4,1A2_inh,ecfp2,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.011000000000000001,1525,1067,229,229,86,19,19,0.9129999999999999,4,205,5,15,0.245,0.932,0.976,0.953,0.593,0.444,0.21100000000000002,0.28600000000000003,0.593,2.374,0.9129999999999999,1,208,2,18,0.07,0.92,0.99,0.9540000000000001,0.522,0.33299999999999996,0.053,0.091,0.522,1.65
5,1A2_sub,laval,AdaBoostClassifier_default,"{'algorithm': ['SAMME.R'], 'base_estimator': [None], 'learning_rate': [1.0], 'n_estimators': [50], 'random_state': [None]}",1.44,1525,1067,229,229,220,47,47,0.838,21,171,11,26,0.43799999999999994,0.868,0.94,0.902,0.693,0.6559999999999999,0.447,0.532,0.693,0.621,0.812,20,166,16,27,0.37,0.86,0.912,0.885,0.669,0.556,0.426,0.48200000000000004,0.669,0.622
6,2C19_ind,maccs,ExtraTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'random_state': [None], 'splitter': ['random']}",0.005,1525,1067,229,229,12,2,2,0.9740000000000001,1,222,5,1,0.24,0.996,0.978,0.987,0.7390000000000001,0.16699999999999998,0.5,0.25,0.7390000000000001,0.907,0.987,2,224,3,0,0.5660000000000001,1.0,0.987,0.993,0.993,0.4,1.0,0.5710000000000001,0.993,0.46
7,2C19_inh,ecfp2,HistGradientBoostingClassifier_default,"{'l2_regularization': [0.0], 'learning_rate': [0.1], 'loss': ['auto'], 'max_bins': [256], 'max_depth': [None], 'max_iter': [100], 'max_leaf_nodes': [31], 'min_samples_leaf': [20], 'n_iter_no_change': [None], 'random_state': [None], 'scoring': [None], 'tol': [1e-07], 'validation_fraction': [0.1], 'verbose': [0]}",0.4370000000000001,1525,1067,229,229,77,16,16,0.93,4,209,4,12,0.301,0.946,0.981,0.963,0.616,0.5,0.25,0.33299999999999996,0.616,0.365,0.93,1,212,1,15,0.09699999999999999,0.934,0.995,0.9640000000000001,0.529,0.5,0.062,0.111,0.529,0.349
8,2C19_sub,hashap,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [None], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",0.174,1525,1067,229,229,194,42,42,0.852,23,172,15,19,0.485,0.9009999999999999,0.92,0.91,0.7340000000000001,0.605,0.5479999999999999,0.575,0.7340000000000001,0.765,0.8170000000000001,12,175,12,30,0.266,0.8540000000000001,0.9359999999999999,0.893,0.611,0.5,0.28600000000000003,0.364,0.611,1.037
9,2C8_ind,fcfp4,RidgeClassifier_default,"{'alpha': [1.0], 'class_weight': [None], 'copy_X': [True], 'fit_intercept': [True], 'max_iter': [None], 'normalize': [False], 'random_state': [None], 'solver': ['auto'], 'tol': [0.001]}",0.011000000000000001,1525,1067,229,229,12,2,3,1.0,2,227,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,0.987,0,226,0,3,0.0,0.987,1.0,0.993,0.5,0.0,0.0,0.0,0.5,-
