,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
0,1A1_ind,ecfp0,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.009000000000000001,1525,1067,229,229,35,7,7,0.961,1,219,3,6,0.163,0.973,0.986,0.98,0.565,0.25,0.14300000000000002,0.182,0.565,1.3880000000000001,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,1.099
1,1A2_ind,hashtt,MultinomialNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True]}",0.008,1525,1067,229,229,27,6,6,0.961,2,218,5,4,0.28800000000000003,0.982,0.978,0.98,0.655,0.28600000000000003,0.33299999999999996,0.308,0.655,0.489,0.961,1,219,4,5,0.162,0.978,0.982,0.98,0.574,0.2,0.16699999999999998,0.182,0.574,0.485
2,2C19_ind,maccs,ExtraTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'random_state': [None], 'splitter': ['random']}",0.005,1525,1067,229,229,12,2,2,0.9740000000000001,1,222,5,1,0.24,0.996,0.978,0.987,0.7390000000000001,0.16699999999999998,0.5,0.25,0.7390000000000001,0.907,0.987,2,224,3,0,0.5660000000000001,1.0,0.987,0.993,0.993,0.4,1.0,0.5710000000000001,0.993,0.46
3,2C8_ind,fcfp4,RidgeClassifier_default,"{'alpha': [1.0], 'class_weight': [None], 'copy_X': [True], 'fit_intercept': [True], 'max_iter': [None], 'normalize': [False], 'random_state': [None], 'solver': ['auto'], 'tol': [0.001]}",0.011000000000000001,1525,1067,229,229,12,2,3,1.0,2,227,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,0.987,0,226,0,3,0.0,0.987,1.0,0.993,0.5,0.0,0.0,0.0,0.5,-
4,2C9_ind,rdk5,DecisionTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': [None], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'presort': [False], 'random_state': [None], 'splitter': ['best']}",0.009000000000000001,1525,1067,229,229,20,4,4,0.961,2,218,7,2,0.29100000000000004,0.991,0.9690000000000001,0.98,0.7340000000000001,0.222,0.5,0.308,0.7340000000000001,1.376,0.978,1,223,2,3,0.275,0.987,0.991,0.9890000000000001,0.621,0.33299999999999996,0.25,0.28600000000000003,0.621,0.757
5,2E1_ind,rdk7,Perceptron_default,"{'alpha': [0.0001], 'class_weight': [None], 'early_stopping': [False], 'eta0': [1.0], 'fit_intercept': [True], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': [None], 'random_state': [0], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.008,1525,1067,229,229,20,4,4,0.987,1,225,0,3,0.396,0.987,1.0,0.993,0.625,1.0,0.25,0.4,0.625,-,0.983,0,225,0,4,0.0,0.983,1.0,0.991,0.5,0.0,0.0,0.0,0.5,-
6,3A4_ind,lecfp4,SGDClassifier_default,"{'alpha': [0.0001], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'epsilon': [0.1], 'eta0': [0.0], 'fit_intercept': [True], 'l1_ratio': [0.15], 'learning_rate': ['optimal'], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': ['l2'], 'power_t': [0.5], 'random_state': [None], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.062,1525,1067,229,229,71,15,15,0.9209999999999999,6,205,9,9,0.358,0.958,0.958,0.958,0.679,0.4,0.4,0.4,0.679,-,0.8859999999999999,2,201,13,13,0.073,0.9390000000000001,0.9390000000000001,0.9390000000000001,0.536,0.133,0.133,0.133,0.536,-
7,3A5_ind,ecfp6,DummyClassifier_default,"{'constant': [None], 'random_state': [None], 'strategy': ['stratified']}",0.003,1525,1067,229,229,21,4,5,0.978,2,222,3,2,0.433,0.991,0.987,0.9890000000000001,0.743,0.4,0.5,0.444,0.743,1.357,0.961,0,220,4,5,-0.02,0.978,0.982,0.98,0.491,0.0,0.0,0.0,0.491,0.905
8,GST_ind,ecfp6,ExtraTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'random_state': [None], 'splitter': ['random']}",0.018000000000000002,1525,1067,229,229,34,7,7,0.956,2,217,5,5,0.263,0.977,0.977,0.977,0.632,0.28600000000000003,0.28600000000000003,0.28600000000000003,0.632,1.511,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,1.659
9,MET_ind,ecfp6,NearestCentroid_default,"{'metric': ['euclidean'], 'shrink_threshold': [None]}",0.006999999999999999,1525,1067,229,229,12,2,2,0.983,1,224,3,1,0.325,0.996,0.987,0.991,0.743,0.25,0.5,0.33299999999999996,0.743,-,0.978,0,224,3,2,-0.011000000000000001,0.991,0.987,0.9890000000000001,0.493,0.0,0.0,0.0,0.493,-
