,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
0,1A1_inh,rdk5,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.008,1525,1067,229,229,31,7,7,0.9690000000000001,2,220,2,5,0.349,0.978,0.991,0.9840000000000001,0.638,0.5,0.28600000000000003,0.364,0.638,0.679,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,0.667
1,1A2_inh,ecfp2,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.011000000000000001,1525,1067,229,229,86,19,19,0.9129999999999999,4,205,5,15,0.245,0.932,0.976,0.953,0.593,0.444,0.21100000000000002,0.28600000000000003,0.593,2.374,0.9129999999999999,1,208,2,18,0.07,0.92,0.99,0.9540000000000001,0.522,0.33299999999999996,0.053,0.091,0.522,1.65
2,2C19_inh,ecfp2,HistGradientBoostingClassifier_default,"{'l2_regularization': [0.0], 'learning_rate': [0.1], 'loss': ['auto'], 'max_bins': [256], 'max_depth': [None], 'max_iter': [100], 'max_leaf_nodes': [31], 'min_samples_leaf': [20], 'n_iter_no_change': [None], 'random_state': [None], 'scoring': [None], 'tol': [1e-07], 'validation_fraction': [0.1], 'verbose': [0]}",0.4370000000000001,1525,1067,229,229,77,16,16,0.93,4,209,4,12,0.301,0.946,0.981,0.963,0.616,0.5,0.25,0.33299999999999996,0.616,0.365,0.93,1,212,1,15,0.09699999999999999,0.934,0.995,0.9640000000000001,0.529,0.5,0.062,0.111,0.529,0.349
3,2C8_inh,avalon,OutputCodeClassifier_default,"{'code_size': [1.5], 'estimator__alpha': [1.0], 'estimator__class_prior': [None], 'estimator__fit_prior': [True], 'estimator': [MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True)], 'n_jobs': [None], 'random_state': [None]}",0.008,1525,1067,229,229,68,14,14,0.843,8,185,30,6,0.24,0.9690000000000001,0.86,0.9109999999999999,0.716,0.21100000000000002,0.5710000000000001,0.308,0.716,-,0.8029999999999999,3,181,34,11,0.032,0.943,0.8420000000000001,0.889,0.528,0.081,0.214,0.11800000000000001,0.528,-
4,2C9_inh,ecfp4,BernoulliNB_default,"{'alpha': [1.0], 'binarize': [0.0], 'class_prior': [None], 'fit_prior': [True]}",0.008,1525,1067,229,229,154,33,33,0.838,15,177,19,18,0.353,0.9079999999999999,0.903,0.905,0.679,0.441,0.455,0.44799999999999995,0.679,0.665,0.79,14,167,29,19,0.245,0.898,0.852,0.8740000000000001,0.638,0.326,0.424,0.368,0.638,1.032
5,2D6_inh,maccs,BernoulliNB_default,"{'alpha': [1.0], 'binarize': [0.0], 'class_prior': [None], 'fit_prior': [True]}",0.006999999999999999,1525,1067,229,229,171,37,37,0.747,28,143,49,9,0.349,0.941,0.745,0.831,0.7509999999999999,0.364,0.757,0.491,0.7509999999999999,1.5219999999999998,0.6679999999999999,17,136,56,20,0.12,0.872,0.708,0.782,0.584,0.233,0.45899999999999996,0.309,0.584,1.882
6,2E1_inh,laval,ExtraTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'random_state': [None], 'splitter': ['random']}",0.024,1525,1067,229,229,50,11,11,0.934,4,210,8,7,0.313,0.968,0.963,0.966,0.6629999999999999,0.33299999999999996,0.364,0.348,0.6629999999999999,2.27,0.9129999999999999,2,207,11,9,0.121,0.958,0.95,0.9540000000000001,0.5660000000000001,0.154,0.182,0.16699999999999998,0.5660000000000001,3.016
7,3A4_inh,lfcfp6,AdaBoostClassifier_default,"{'algorithm': ['SAMME.R'], 'base_estimator': [None], 'learning_rate': [1.0], 'n_estimators': [50], 'random_state': [None]}",1.444,1525,1067,229,229,219,47,47,0.8029999999999999,13,171,11,34,0.264,0.8340000000000001,0.94,0.884,0.608,0.542,0.27699999999999997,0.366,0.608,0.6659999999999999,0.799,11,172,10,36,0.225,0.8270000000000001,0.945,0.882,0.59,0.524,0.23399999999999999,0.324,0.59,0.665
8,3A5_inh,maccs,PassiveAggressiveClassifier_default,"{'C': [1.0], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'fit_intercept': [True], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'random_state': [None], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.008,1525,1067,229,229,21,4,4,0.9690000000000001,2,220,5,2,0.349,0.991,0.978,0.9840000000000001,0.7390000000000001,0.28600000000000003,0.5,0.364,0.7390000000000001,-,0.956,1,218,7,3,0.147,0.986,0.9690000000000001,0.978,0.609,0.125,0.25,0.16699999999999998,0.609,-
9,GST_inh,ecfp0,RidgeClassifier_default,"{'alpha': [1.0], 'class_weight': [None], 'copy_X': [True], 'fit_intercept': [True], 'max_iter': [None], 'normalize': [False], 'random_state': [None], 'solver': ['auto'], 'tol': [0.001]}",0.01,1525,1067,229,229,25,5,5,0.983,1,224,0,4,0.32799999999999996,0.982,1.0,0.991,0.6,1.0,0.2,0.33299999999999996,0.6,-,0.978,0,224,0,5,0.0,0.978,1.0,0.9890000000000001,0.5,0.0,0.0,0.0,0.5,-
10,MET_inh,ecfp2,SGDClassifier_default,"{'alpha': [0.0001], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'epsilon': [0.1], 'eta0': [0.0], 'fit_intercept': [True], 'l1_ratio': [0.15], 'learning_rate': ['optimal'], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': ['l2'], 'power_t': [0.5], 'random_state': [None], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.011000000000000001,1525,1067,229,229,26,6,6,0.961,2,218,5,4,0.28800000000000003,0.982,0.978,0.98,0.655,0.28600000000000003,0.33299999999999996,0.308,0.655,-,0.948,2,215,8,4,0.225,0.982,0.9640000000000001,0.973,0.649,0.2,0.33299999999999996,0.25,0.649,-
11,NAT_inh,lecfp6,ExtraTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'random_state': [None], 'splitter': ['random']}",0.026000000000000002,1525,1067,229,229,21,5,5,0.978,1,223,1,4,0.27699999999999997,0.982,0.996,0.9890000000000001,0.598,0.5,0.2,0.28600000000000003,0.598,0.754,0.965,0,221,3,5,-0.017,0.978,0.987,0.982,0.493,0.0,0.0,0.0,0.493,1.207
12,SUL_inh,avalon,DummyClassifier_default,"{'constant': [None], 'random_state': [None], 'strategy': ['stratified']}",0.003,1525,1067,229,229,12,2,3,0.996,1,227,0,1,0.665,0.996,1.0,0.998,0.75,1.0,0.5,0.667,0.75,0.603,0.978,0,224,2,3,-0.011000000000000001,0.987,0.991,0.9890000000000001,0.496,0.0,0.0,0.0,0.496,0.754
13,UGT_inh,hashap,SGDClassifier_default,"{'alpha': [0.0001], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'epsilon': [0.1], 'eta0': [0.0], 'fit_intercept': [True], 'l1_ratio': [0.15], 'learning_rate': ['optimal'], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': ['l2'], 'power_t': [0.5], 'random_state': [None], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.009000000000000001,1525,1067,229,229,21,5,5,0.978,1,223,1,4,0.27699999999999997,0.982,0.996,0.9890000000000001,0.598,0.5,0.2,0.28600000000000003,0.598,-,0.978,0,224,0,5,0.0,0.978,1.0,0.9890000000000001,0.5,0.0,0.0,0.0,0.5,-
