,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
0,1A1_sub,lecfp6,Perceptron_default,"{'alpha': [0.0001], 'class_weight': [None], 'early_stopping': [False], 'eta0': [1.0], 'fit_intercept': [True], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': [None], 'random_state': [0], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.043,1525,1067,229,229,35,7,7,0.9690000000000001,2,220,2,5,0.349,0.978,0.991,0.9840000000000001,0.638,0.5,0.28600000000000003,0.364,0.638,-,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,-
1,1A2_sub,laval,AdaBoostClassifier_default,"{'algorithm': ['SAMME.R'], 'base_estimator': [None], 'learning_rate': [1.0], 'n_estimators': [50], 'random_state': [None]}",1.44,1525,1067,229,229,220,47,47,0.838,21,171,11,26,0.43799999999999994,0.868,0.94,0.902,0.693,0.6559999999999999,0.447,0.532,0.693,0.621,0.812,20,166,16,27,0.37,0.86,0.912,0.885,0.669,0.556,0.426,0.48200000000000004,0.669,0.622
2,2C19_sub,hashap,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [None], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",0.174,1525,1067,229,229,194,42,42,0.852,23,172,15,19,0.485,0.9009999999999999,0.92,0.91,0.7340000000000001,0.605,0.5479999999999999,0.575,0.7340000000000001,0.765,0.8170000000000001,12,175,12,30,0.266,0.8540000000000001,0.9359999999999999,0.893,0.611,0.5,0.28600000000000003,0.364,0.611,1.037
3,2C8_sub,hashtt,HistGradientBoostingClassifier_default,"{'l2_regularization': [0.0], 'learning_rate': [0.1], 'loss': ['auto'], 'max_bins': [256], 'max_depth': [None], 'max_iter': [100], 'max_leaf_nodes': [31], 'min_samples_leaf': [20], 'n_iter_no_change': [None], 'random_state': [None], 'scoring': [None], 'tol': [1e-07], 'validation_fraction': [0.1], 'verbose': [0]}",0.43,1525,1067,229,229,133,28,28,0.9129999999999999,12,197,4,16,0.501,0.925,0.98,0.9520000000000001,0.7040000000000001,0.75,0.429,0.545,0.7040000000000001,0.389,0.882,6,196,5,22,0.256,0.899,0.975,0.9359999999999999,0.595,0.545,0.214,0.308,0.595,0.41700000000000004
4,2C9_sub,maccs,HistGradientBoostingClassifier_default,"{'l2_regularization': [0.0], 'learning_rate': [0.1], 'loss': ['auto'], 'max_bins': [256], 'max_depth': [None], 'max_iter': [100], 'max_leaf_nodes': [31], 'min_samples_leaf': [20], 'n_iter_no_change': [None], 'random_state': [None], 'scoring': [None], 'tol': [1e-07], 'validation_fraction': [0.1], 'verbose': [0]}",0.111,1525,1067,229,229,231,49,49,0.843,21,172,8,28,0.451,0.86,0.956,0.905,0.6920000000000001,0.7240000000000001,0.429,0.5379999999999999,0.6920000000000001,0.415,0.821,19,169,11,30,0.38,0.8490000000000001,0.9390000000000001,0.892,0.6629999999999999,0.633,0.38799999999999996,0.48100000000000004,0.6629999999999999,0.539
5,2D6_sub,ecfp6,XGBClassifier_default,"{'base_score': [0.5], 'booster': ['gbtree'], 'colsample_bylevel': [1], 'colsample_bynode': [1], 'colsample_bytree': [1], 'gamma': [0], 'learning_rate': [0.1], 'max_delta_step': [0], 'max_depth': [3], 'min_child_weight': [1], 'missing': [None], 'n_estimators': [100], 'n_jobs': [1], 'nthread': [None], 'objective': ['binary:logistic'], 'random_state': [0], 'reg_alpha': [0], 'reg_lambda': [1], 'scale_pos_weight': [1], 'seed': [None], 'silent': [None], 'subsample': [1], 'verbosity': [1]}",0.19699999999999998,1525,1067,229,229,301,64,64,0.821,29,159,6,35,0.484,0.82,0.9640000000000001,0.8859999999999999,0.708,0.8290000000000001,0.45299999999999996,0.586,0.708,0.509,0.777,26,152,13,38,0.3720000000000001,0.8,0.9209999999999999,0.856,0.664,0.667,0.406,0.505,0.664,0.484
6,2E1_sub,rdk7,BaggingClassifier_default,"{'base_estimator': [None], 'bootstrap': [True], 'bootstrap_features': [False], 'max_features': [1.0], 'max_samples': [1.0], 'n_estimators': [10], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.051,1525,1067,229,229,119,25,25,0.917,12,198,6,13,0.514,0.938,0.971,0.9540000000000001,0.725,0.667,0.48,0.5579999999999999,0.725,1.095,0.9079999999999999,6,202,2,19,0.32799999999999996,0.914,0.99,0.951,0.615,0.75,0.24,0.364,0.615,0.821
7,3A4_sub,lecfp6,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.053,1525,1067,229,229,495,106,106,0.7859999999999999,73,107,16,33,0.565,0.764,0.87,0.8140000000000001,0.779,0.82,0.6890000000000001,0.7490000000000001,0.779,1.786,0.6809999999999999,59,97,26,47,0.35,0.674,0.789,0.727,0.6729999999999999,0.6940000000000001,0.557,0.618,0.6729999999999999,2.022
8,3A5_sub,laval,SGDClassifier_default,"{'alpha': [0.0001], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'epsilon': [0.1], 'eta0': [0.0], 'fit_intercept': [True], 'l1_ratio': [0.15], 'learning_rate': ['optimal'], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': ['l2'], 'power_t': [0.5], 'random_state': [None], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.10300000000000001,1525,1067,229,229,86,19,19,0.83,8,182,28,11,0.205,0.943,0.867,0.903,0.644,0.222,0.42100000000000004,0.29100000000000004,0.644,-,0.8170000000000001,6,181,29,13,0.128,0.9329999999999999,0.862,0.8959999999999999,0.589,0.171,0.316,0.222,0.589,-
9,GST_sub,avalon,AdaBoostClassifier_default,"{'algorithm': ['SAMME.R'], 'base_estimator': [None], 'learning_rate': [1.0], 'n_estimators': [50], 'random_state': [None]}",0.077,1525,1067,229,229,14,3,3,0.987,1,225,1,2,0.39399999999999996,0.991,0.996,0.993,0.664,0.5,0.33299999999999996,0.4,0.664,0.408,0.987,0,226,0,3,0.0,0.987,1.0,0.993,0.5,0.0,0.0,0.0,0.5,0.40700000000000003
