,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
0,1A1_ind,rdkDes_lecfp6_laval_hashap,MultinomialNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True]}",0.023,1525,1067,229,229,35,7,7,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,1.061,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,1.206
1,1A1_ind,rdkDes_lecfp6_laval_hashap,BernoulliNB_default,"{'alpha': [1.0], 'binarize': [0.0], 'class_prior': [None], 'fit_prior': [True]}",0.032,1525,1067,229,229,35,7,7,0.9690000000000001,0,222,0,7,0.0,0.9690000000000001,1.0,0.9840000000000001,0.5,0.0,0.0,0.0,0.5,1.056,0.9690000000000001,0,222,0,7,0.0,0.9690000000000001,1.0,0.9840000000000001,0.5,0.0,0.0,0.0,0.5,1.056
2,1A1_ind,rdkDes_lecfp6_laval_hashap,BaggingClassifier_default,"{'base_estimator': [None], 'bootstrap': [True], 'bootstrap_features': [False], 'max_features': [1.0], 'max_samples': [1.0], 'n_estimators': [10], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.24,1525,1067,229,229,35,7,7,0.961,0,220,2,7,-0.013999999999999999,0.9690000000000001,0.991,0.98,0.495,0.0,0.0,0.0,0.495,1.113,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,0.6809999999999999
3,1A1_ind,rdkDes_lecfp6_laval_hashap,DummyClassifier_default,"{'constant': [None], 'random_state': [None], 'strategy': ['stratified']}",0.002,1525,1067,229,229,35,7,7,0.934,0,214,8,7,-0.034,0.968,0.9640000000000001,0.966,0.48200000000000004,0.0,0.0,0.0,0.48200000000000004,1.207,0.93,0,213,9,7,-0.036000000000000004,0.968,0.9590000000000001,0.9640000000000001,0.48,0.0,0.0,0.0,0.48,1.508
4,1A1_ind,rdkDes_lecfp6_laval_hashap,OneVsOneClassifier_default,"{'estimator__alpha': [1.0], 'estimator__class_prior': [None], 'estimator__fit_prior': [True], 'estimator': [MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True)], 'n_jobs': [None]}",0.023,1525,1067,229,229,35,7,7,0.079,7,11,211,0,0.003,1.0,0.05,0.094,0.525,0.032,1.0,0.062,0.525,-,0.092,6,15,207,1,-0.005,0.938,0.068,0.126,0.462,0.027999999999999997,0.857,0.055,0.462,-
5,1A1_ind,rdkDes_lecfp6_laval_hashap,XGBClassifier_default,"{'base_score': [0.5], 'booster': ['gbtree'], 'colsample_bylevel': [1], 'colsample_bynode': [1], 'colsample_bytree': [1], 'gamma': [0], 'learning_rate': [0.1], 'max_delta_step': [0], 'max_depth': [3], 'min_child_weight': [1], 'missing': [None], 'n_estimators': [100], 'n_jobs': [1], 'nthread': [None], 'objective': ['binary:logistic'], 'random_state': [0], 'reg_alpha': [0], 'reg_lambda': [1], 'scale_pos_weight': [1], 'seed': [None], 'silent': [None], 'subsample': [1], 'verbosity': [1]}",0.9640000000000001,1525,1067,229,229,35,7,7,0.9690000000000001,0,222,0,7,0.0,0.9690000000000001,1.0,0.9840000000000001,0.5,0.0,0.0,0.0,0.5,0.16699999999999998,0.9690000000000001,0,222,0,7,0.0,0.9690000000000001,1.0,0.9840000000000001,0.5,0.0,0.0,0.0,0.5,0.16899999999999998
6,1A1_ind,rdkDes_lecfp6_laval_hashap,AdaBoostClassifier_default,"{'algorithm': ['SAMME.R'], 'base_estimator': [None], 'learning_rate': [1.0], 'n_estimators': [50], 'random_state': [None]}",1.008,1525,1067,229,229,35,7,7,0.961,0,220,2,7,-0.013999999999999999,0.9690000000000001,0.991,0.98,0.495,0.0,0.0,0.0,0.495,0.525,0.9690000000000001,0,222,0,7,0.0,0.9690000000000001,1.0,0.9840000000000001,0.5,0.0,0.0,0.0,0.5,0.509
7,1A1_ind,rdkDes_lecfp6_laval_hashap,OneVsRestClassifier_default,"{'estimator__C': [1.0], 'estimator__class_weight': [None], 'estimator__dual': [False], 'estimator__fit_intercept': [True], 'estimator__intercept_scaling': [1], 'estimator__l1_ratio': [None], 'estimator__max_iter': [100], 'estimator__multi_class': ['warn'], 'estimator__n_jobs': [None], 'estimator__penalty': ['l2'], 'estimator__random_state': [None], 'estimator__solver': ['warn'], 'estimator__tol': [0.0001], 'estimator__verbose': [0], 'estimator__warm_start': [False], 'estimator': [LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=None, penalty='l2',
                   random_state=None, solver='warn', tol=0.0001, verbose=0,
                   warm_start=False)], 'n_jobs': [None]}",0.02,1525,1067,229,229,35,7,7,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,0.28,0.956,0,219,3,7,-0.019,0.9690000000000001,0.986,0.978,0.493,0.0,0.0,0.0,0.493,0.22699999999999998
8,1A1_ind,rdkDes_lecfp6_laval_hashap,SGDClassifier_default,"{'alpha': [0.0001], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'epsilon': [0.1], 'eta0': [0.0], 'fit_intercept': [True], 'l1_ratio': [0.15], 'learning_rate': ['optimal'], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': ['l2'], 'power_t': [0.5], 'random_state': [None], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.028999999999999998,1525,1067,229,229,35,7,7,0.9390000000000001,0,215,7,7,-0.032,0.968,0.968,0.968,0.484,0.0,0.0,0.0,0.484,-,0.934,0,214,8,7,-0.034,0.968,0.9640000000000001,0.966,0.48200000000000004,0.0,0.0,0.0,0.48200000000000004,-
9,1A1_ind,rdkDes_lecfp6_laval_hashap,Perceptron_default,"{'alpha': [0.0001], 'class_weight': [None], 'early_stopping': [False], 'eta0': [1.0], 'fit_intercept': [True], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': [None], 'random_state': [0], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.027999999999999997,1525,1067,229,229,35,7,7,0.948,0,217,5,7,-0.026000000000000002,0.9690000000000001,0.977,0.973,0.489,0.0,0.0,0.0,0.489,-,0.934,0,214,8,7,-0.034,0.968,0.9640000000000001,0.966,0.48200000000000004,0.0,0.0,0.0,0.48200000000000004,-
10,1A1_ind,rdkDes_lecfp6_laval_hashap,GaussianMixture_default,"{'covariance_type': ['full'], 'init_params': ['kmeans'], 'max_iter': [100], 'means_init': [None], 'n_components': [1], 'n_init': [1], 'precisions_init': [None], 'random_state': [None], 'reg_covar': [1e-06], 'tol': [0.001], 'verbose': [0], 'verbose_interval': [10], 'warm_start': [False], 'weights_init': [None]}",80.065,1525,1067,229,229,35,7,7,0.9690000000000001,0,222,0,7,0.0,0.9690000000000001,1.0,0.9840000000000001,0.5,0.0,0.0,0.0,0.5,-,0.9690000000000001,0,222,0,7,0.0,0.9690000000000001,1.0,0.9840000000000001,0.5,0.0,0.0,0.0,0.5,-
11,1A1_ind,rdkDes_lecfp6_laval_hashap,NearestCentroid_default,"{'metric': ['euclidean'], 'shrink_threshold': [None]}",0.013000000000000001,1525,1067,229,229,35,7,7,0.721,1,164,58,6,-0.026000000000000002,0.965,0.7390000000000001,0.8370000000000001,0.441,0.017,0.14300000000000002,0.03,0.441,-,0.716,1,163,59,6,-0.026000000000000002,0.9640000000000001,0.7340000000000001,0.8340000000000001,0.439,0.017,0.14300000000000002,0.03,0.439,-
12,1A1_ind,rdkDes_lecfp6_laval_hashap,DecisionTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': [None], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'presort': [False], 'random_state': [None], 'splitter': ['best']}",0.2,1525,1067,229,229,35,7,7,0.9390000000000001,0,215,7,7,-0.032,0.968,0.968,0.968,0.484,0.0,0.0,0.0,0.484,2.115,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,1.662
13,1A1_ind,rdkDes_lecfp6_laval_hashap,ComplementNB_default,"{'alpha': [1.0], 'class_prior': [None], 'fit_prior': [True], 'norm': [False]}",0.023,1525,1067,229,229,35,7,7,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,1.075,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,1.207
14,1A1_ind,rdkDes_lecfp6_laval_hashap,PassiveAggressiveClassifier_default,"{'C': [1.0], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'fit_intercept': [True], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'random_state': [None], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.043,1525,1067,229,229,35,7,7,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,-,0.9690000000000001,0,222,0,7,0.0,0.9690000000000001,1.0,0.9840000000000001,0.5,0.0,0.0,0.0,0.5,-
15,1A1_ind,rdkDes_lecfp6_laval_hashap,LinearDiscriminantAnalysis_default,"{'n_components': [None], 'priors': [None], 'shrinkage': [None], 'solver': ['svd'], 'store_covariance': [False], 'tol': [0.0001]}",0.297,1525,1067,229,229,35,7,7,0.948,0,217,5,7,-0.026000000000000002,0.9690000000000001,0.977,0.973,0.489,0.0,0.0,0.0,0.489,1.669,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,1.591
16,1A1_ind,rdkDes_lecfp6_laval_hashap,OutputCodeClassifier_default,"{'code_size': [1.5], 'estimator__alpha': [1.0], 'estimator__class_prior': [None], 'estimator__fit_prior': [True], 'estimator': [MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True)], 'n_jobs': [None], 'random_state': [None]}",0.022000000000000002,1525,1067,229,229,35,7,7,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,-,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,-
17,1A1_ind,rdkDes_lecfp6_laval_hashap,ExtraTreeClassifier_default,"{'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'random_state': [None], 'splitter': ['random']}",0.013000000000000001,1525,1067,229,229,35,7,7,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,1.659,0.943,0,216,6,7,-0.028999999999999998,0.9690000000000001,0.973,0.971,0.486,0.0,0.0,0.0,0.486,1.969
18,1A1_ind,rdkDes_lecfp6_laval_hashap,LinearSVC_default,"{'C': [1.0], 'class_weight': [None], 'dual': [True], 'fit_intercept': [True], 'intercept_scaling': [1], 'loss': ['squared_hinge'], 'max_iter': [1000], 'multi_class': ['ovr'], 'penalty': ['l2'], 'random_state': [None], 'tol': [0.0001], 'verbose': [0]}",0.02,1525,1067,229,229,35,7,7,0.948,0,217,5,7,-0.026000000000000002,0.9690000000000001,0.977,0.973,0.489,0.0,0.0,0.0,0.489,-,0.948,0,217,5,7,-0.026000000000000002,0.9690000000000001,0.977,0.973,0.489,0.0,0.0,0.0,0.489,-
19,1A1_ind,rdkDes_lecfp6_laval_hashap,LogisticRegression_default,"{'C': [1.0], 'class_weight': [None], 'dual': [False], 'fit_intercept': [True], 'intercept_scaling': [1], 'l1_ratio': [None], 'max_iter': [100], 'multi_class': ['warn'], 'n_jobs': [None], 'penalty': ['l2'], 'random_state': [None], 'solver': ['warn'], 'tol': [0.0001], 'verbose': [0], 'warm_start': [False]}",0.019,1525,1067,229,229,35,7,7,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,0.28,0.956,0,219,3,7,-0.019,0.9690000000000001,0.986,0.978,0.493,0.0,0.0,0.0,0.493,0.22699999999999998
20,1A1_ind,rdkDes_lecfp6_laval_hashap,RidgeClassifier_default,"{'alpha': [1.0], 'class_weight': [None], 'copy_X': [True], 'fit_intercept': [True], 'max_iter': [None], 'normalize': [False], 'random_state': [None], 'solver': ['auto'], 'tol': [0.001]}",0.037000000000000005,1525,1067,229,229,35,7,7,0.948,0,217,5,7,-0.026000000000000002,0.9690000000000001,0.977,0.973,0.489,0.0,0.0,0.0,0.489,-,0.9520000000000001,0,218,4,7,-0.023,0.9690000000000001,0.982,0.975,0.491,0.0,0.0,0.0,0.491,-
21,1A1_ind,rdkDes_lecfp6_laval_hashap,GaussianNB_default,"{'priors': [None], 'var_smoothing': [1e-09]}",0.127,1525,1067,229,229,35,7,7,0.956,0,219,3,7,-0.019,0.9690000000000001,0.986,0.978,0.493,0.0,0.0,0.0,0.493,1.508,0.956,0,219,3,7,-0.019,0.9690000000000001,0.986,0.978,0.493,0.0,0.0,0.0,0.493,1.508
22,1A1_ind,rdkDes_lecfp6_laval_hashap,MLPClassifier_default,"{'activation': ['relu'], 'alpha': [0.0001], 'batch_size': ['auto'], 'beta_1': [0.9], 'beta_2': [0.999], 'early_stopping': [False], 'epsilon': [1e-08], 'hidden_layer_sizes': [(100,)], 'learning_rate': ['constant'], 'learning_rate_init': [0.001], 'max_iter': [200], 'momentum': [0.9], 'n_iter_no_change': [10], 'nesterovs_momentum': [True], 'power_t': [0.5], 'random_state': [None], 'shuffle': [True], 'solver': ['adam'], 'tol': [0.0001], 'validation_fraction': [0.1], 'verbose': [False], 'warm_start': [False]}",1.7590000000000001,1525,1067,229,229,35,7,7,0.956,0,219,3,7,-0.019,0.9690000000000001,0.986,0.978,0.493,0.0,0.0,0.0,0.493,0.39399999999999996,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,0.365
23,1A1_ind,rdkDes_lecfp6_laval_hashap,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.024,1525,1067,229,229,35,7,7,0.956,0,219,3,7,-0.019,0.9690000000000001,0.986,0.978,0.493,0.0,0.0,0.0,0.493,1.253,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,0.8240000000000001
24,1A1_ind,rdkDes_lecfp6_laval_hashap,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [None], 'verbose': [0], 'warm_start': [False]}",0.017,1525,1067,229,229,35,7,7,0.965,0,221,1,7,-0.008,0.9690000000000001,0.995,0.982,0.498,0.0,0.0,0.0,0.498,1.103,0.9690000000000001,0,222,0,7,0.0,0.9690000000000001,1.0,0.9840000000000001,0.5,0.0,0.0,0.0,0.5,0.541
