,Output_Target,Input_feature,Models,Hyperparameters_Used,Model_RunTime_min,Dataset_size,Train_size,Val_size,Test_size,Train_positive_size,Val_positive_size,Test_positive_size,Accuracy_Val,True_Positive_Val,True_Negative_Val,False_Positive_Val,False_Negative_Val,Cohen_Score_Val,Precision_0_Val,Recall_0_Val,F1 Score_0_Val,AUC_output_0_Val,Precision_1_Val,Recall_1_Val,F1_Score_1_Val,AUC_output_1_Val,Log_Loss_Val,Accuracy_Test,True_Positive_Test,True_Negative_Test,False_Positive_Test,False_Negative_Test,Cohen_Score_Test,Precision_0_Test,Recall_0_Test,F1_Score_0_Test,AUC_output_0_Test,Precision_1_Test,Recall_1_Test,F1 Score_1_Test,AUC_output_1_Test,Log_Loss_Test
0,1A2,ecfp6_rdkDes_avalon_hashap,LogisticRegression_default,"{'C': [1.0], 'class_weight': [None], 'dual': [False], 'fit_intercept': [True], 'intercept_scaling': [1], 'l1_ratio': [None], 'max_iter': [100], 'multi_class': ['warn'], 'n_jobs': [None], 'penalty': ['l2'], 'random_state': [42], 'solver': ['warn'], 'tol': [0.0001], 'verbose': [0], 'warm_start': [False]}",0.006999999999999999,1041,884,157,0,267,47,0,0.7709999999999999,28,93,17,19,0.447,0.83,0.845,0.838,0.721,0.622,0.596,0.609,0.721,0.7290000000000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1A2,fcfp6,SGDClassifier_default,"{'alpha': [0.0001], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'epsilon': [0.1], 'eta0': [0.0], 'fit_intercept': [True], 'l1_ratio': [0.15], 'learning_rate': ['optimal'], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': ['l2'], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.006,1041,884,157,0,267,47,0,0.6940000000000001,28,81,29,19,0.313,0.81,0.736,0.7709999999999999,0.6659999999999999,0.491,0.596,0.5379999999999999,0.6659999999999999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1A2,rdk7,Perceptron_default,"{'alpha': [0.0001], 'class_weight': [None], 'early_stopping': [False], 'eta0': [1.0], 'fit_intercept': [True], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': [None], 'random_state': [42], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.003,1041,884,157,0,267,47,0,0.713,20,92,18,27,0.277,0.773,0.836,0.8029999999999999,0.631,0.526,0.426,0.471,0.631,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,1A2,rdk7,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.002,1041,884,157,0,267,47,0,0.713,16,96,14,31,0.238,0.7559999999999999,0.873,0.81,0.607,0.5329999999999999,0.34,0.416,0.607,2.181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,1A2,avalon,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.003,1041,884,157,0,267,47,0,0.745,19,98,12,28,0.327,0.778,0.8909999999999999,0.831,0.648,0.613,0.404,0.487,0.648,1.5530000000000002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,1A2,rdk6,SGDClassifier_default,"{'alpha': [0.0001], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'epsilon': [0.1], 'eta0': [0.0], 'fit_intercept': [True], 'l1_ratio': [0.15], 'learning_rate': ['optimal'], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': ['l2'], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.003,1041,884,157,0,267,47,0,0.72,17,96,14,30,0.26,0.762,0.873,0.8140000000000001,0.617,0.5479999999999999,0.362,0.436,0.617,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,1A2,rdk6,RandomForestClassifier_default,"{'bootstrap': [True], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.003,1041,884,157,0,267,47,0,0.726,21,93,17,26,0.309,0.782,0.845,0.812,0.6459999999999999,0.5529999999999999,0.447,0.494,0.6459999999999999,1.382,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,1A2,rdkDes,Perceptron_default,"{'alpha': [0.0001], 'class_weight': [None], 'early_stopping': [False], 'eta0': [1.0], 'fit_intercept': [True], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': [None], 'random_state': [42], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.002,1041,884,157,0,267,47,0,0.701,1,109,1,46,0.017,0.703,0.991,0.823,0.506,0.5,0.021,0.041,0.506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,1A2,laval,Perceptron_default,"{'alpha': [0.0001], 'class_weight': [None], 'early_stopping': [False], 'eta0': [1.0], 'fit_intercept': [True], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': [None], 'random_state': [42], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.017,1041,884,157,0,267,47,0,0.752,33,85,25,14,0.445,0.8590000000000001,0.773,0.813,0.737,0.569,0.7020000000000001,0.629,0.737,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,1A2,rdkDes,ExtraTreesClassifier_default,"{'bootstrap': [False], 'class_weight': [None], 'criterion': ['gini'], 'max_depth': [None], 'max_features': ['auto'], 'max_leaf_nodes': [None], 'min_impurity_decrease': [0.0], 'min_impurity_split': [None], 'min_samples_leaf': [1], 'min_samples_split': [2], 'min_weight_fraction_leaf': [0.0], 'n_estimators': ['warn'], 'n_jobs': [None], 'oob_score': [False], 'random_state': [42], 'verbose': [0], 'warm_start': [False]}",0.003,1041,884,157,0,267,47,0,0.764,20,100,10,27,0.373,0.787,0.909,0.8440000000000001,0.667,0.667,0.426,0.519,0.667,1.751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,1A2,ecfp6,LogisticRegression_default,"{'C': [1.0], 'class_weight': [None], 'dual': [False], 'fit_intercept': [True], 'intercept_scaling': [1], 'l1_ratio': [None], 'max_iter': [100], 'multi_class': ['warn'], 'n_jobs': [None], 'penalty': ['l2'], 'random_state': [42], 'solver': ['warn'], 'tol': [0.0001], 'verbose': [0], 'warm_start': [False]}",0.003,1041,884,157,0,267,47,0,0.72,24,89,21,23,0.324,0.795,0.809,0.802,0.66,0.5329999999999999,0.511,0.522,0.66,0.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,1A2,avalon,SGDClassifier_default,"{'alpha': [0.0001], 'average': [False], 'class_weight': [None], 'early_stopping': [False], 'epsilon': [0.1], 'eta0': [0.0], 'fit_intercept': [True], 'l1_ratio': [0.15], 'learning_rate': ['optimal'], 'loss': ['hinge'], 'max_iter': [1000], 'n_iter_no_change': [5], 'n_jobs': [None], 'penalty': ['l2'], 'power_t': [0.5], 'random_state': [42], 'shuffle': [True], 'tol': [0.001], 'validation_fraction': [0.1], 'verbose': [0], 'warm_start': [False]}",0.003,1041,884,157,0,267,47,0,0.732,23,92,18,24,0.338,0.7929999999999999,0.836,0.8140000000000001,0.6629999999999999,0.561,0.489,0.523,0.6629999999999999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
