,compd_id,domain_id,component_id,start_position,end_position
0,51621,3658,47,36,242
1,51622,3659,47,249,507
2,51623,3658,48,41,249
3,51624,3659,48,256,347
4,51625,3658,49,37,243
5,51626,3659,49,250,468
6,51627,3658,50,36,242
7,51628,3659,50,249,469
8,51629,2683,51,4,286
9,51630,2676,52,554,828
